GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
lvl2b_C023,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency
lvl2a_C023,Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency
lvl0a_C024,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - State and local government
lvl0b_C024,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities - State and local government
lvl1_C024,State; Total cash and investment holdings - Total securities - Governmental securities - State and local government
lvl2b_C024,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - State and local government
lvl2a_C024,Local - CV; Total cash and investment holdings - Total securities - Governmental securities - State and local government
lvl0a_C025,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities
lvl0b_C025,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities
lvl1_C025,State; Total cash and investment holdings - Total securities - Nongovernmental securities
lvl2b_C025,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities
lvl2a_C025,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities
lvl0a_C026,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds
lvl0b_C026,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds
lvl1_C026,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds
lvl2b_C026,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds
lvl2a_C026,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds
lvl0a_C027,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks
lvl0b_C027,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks
lvl1_C027,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks
lvl2b_C027,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks
lvl2a_C027,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks
lvl0a_C028,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages
lvl0b_C028,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages
lvl1_C028,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages
lvl2b_C028,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages
lvl2a_C028,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages
lvl0a_C029,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust
lvl0b_C029,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust
lvl1_C029,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust
lvl2b_C029,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust
lvl2a_C029,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust
lvl0a_C030,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities
lvl0b_C030,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities
lvl1_C030,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities
lvl2b_C030,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities
lvl2a_C030,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities
lvl0a_C031,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities
lvl0b_C031,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities
lvl1_C031,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities
lvl2b_C031,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities
lvl2a_C031,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities
lvl0a_C032,State and Local - Amount; Total cash and investment holdings - Total other investments
lvl0b_C032,State and Local - CV; Total cash and investment holdings - Total other investments
lvl1_C032,State; Total cash and investment holdings - Total other investments
lvl2b_C032,Local - Amount; Total cash and investment holdings - Total other investments
lvl2a_C032,Local - CV; Total cash and investment holdings - Total other investments
lvl0a_C033,State and Local - Amount; Total cash and investment holdings - Total other investments - Real property
lvl0b_C033,State and Local - CV; Total cash and investment holdings - Total other investments - Real property
lvl1_C033,State; Total cash and investment holdings - Total other investments - Real property
