GEO.id,GEO.id2,GEO.display-label,lvl0_C002,lvl1_C002,lvl2_C002,lvl0_C003,lvl1_C003,lvl2_C003,lvl0_C004,lvl1_C004,lvl2_C004,lvl0_C005,lvl1_C005,lvl2_C005,lvl0_C006,lvl1_C006,lvl2_C006,lvl0_C008,lvl1_C008,lvl2_C008,lvl0_C010,lvl1_C010,lvl2_C010,lvl0_C011,lvl1_C011,lvl2_C011,lvl0_C012,lvl1_C012,lvl2_C012,lvl0_C013,lvl1_C013,lvl2_C013,lvl0_C015,lvl1_C015,lvl2_C015,lvl0_C016,lvl1_C016,lvl2_C016,lvl0_C017,lvl1_C017,lvl2_C017,lvl0_C018,lvl1_C018,lvl2_C018,lvl0_C019,lvl1_C019,lvl2_C019,lvl0_C020,lvl1_C020,lvl2_C020,lvl0_C021,lvl1_C021,lvl2_C021,lvl0_C022,lvl1_C022,lvl2_C022,lvl0_C023,lvl1_C023,lvl2_C023,lvl0_C024,lvl1_C024,lvl2_C024,lvl0_C025,lvl1_C025,lvl2_C025,lvl0_C026,lvl1_C026,lvl2_C026,lvl0_C027,lvl1_C027,lvl2_C027,lvl0_C028,lvl1_C028,lvl2_C028,lvl0_C029,lvl1_C029,lvl2_C029,lvl0_C030,lvl1_C030,lvl2_C030,lvl0_C031,lvl1_C031,lvl2_C031,lvl0_C032,lvl1_C032,lvl2_C032,lvl0_C033,lvl1_C033,lvl2_C033,lvl0_C034,lvl1_C034,lvl2_C034,lvl0_C036,lvl1_C036,lvl2_C036,lvl0_C038,lvl1_C038,lvl2_C038,lvl0_C039,lvl1_C039,lvl2_C039,lvl0_C040,lvl1_C040,lvl2_C040,lvl0_C042,lvl1_C042,lvl2_C042,lvl0_C044,lvl1_C044,lvl2_C044,lvl0_C046,lvl1_C046,lvl2_C046
0400000US41,41,Oregon,993776,846658,147118,16535,16535,0,977241,830123,147118,221336,220450,886,755905,609673,146232,688413,686746,1667,3809483,3671094,138389,3428695,3295710,132985,34756,34020,736,346032,341364,4668,54662917,54263674,399243,1704929,1649293,55636,123288,68094,55194,1581641,1581199,442,41052332,40719986,332346,4737184,4700186,36998,4737073,4700186,36887,1295679,1266312,29367,3441394,3433874,7520,111,0,111,36315148,36019800,295348,4893442,4840663,52779,21268835,21136381,132454,0,0,0,18512,0,18512,10110026,10042756,67270,24333,0,24333,11905656,11894395,11261,1701870,1700980,890,10203786,10193415,10371,6,1,5,215990,212067,3923,173358,169781,3577,42632,42286,346,124548,121202,3346,8550500,8550500,NA,61198400,61198400,NA
0400000US42,42,Pennsylvania,4650181,2761036,1889145,1815897,1324471,491426,2834284,1436565,1397719,1337456,949896,387560,1496828,486669,1010159,3460424,2230217,1230207,11147886,9215736,1932150,10196947,8414143,1782804,111545,52257,59288,839394,749336,90058,92138064,73804087,18333977,5123074,3518185,1604889,776863,33751,743112,4346211,3484434,861777,59822320,46290008,13532312,11387896,9231539,2156357,11386206,9231539,2154667,4998428,3244095,1754333,6387778,5987444,400334,1690,0,1690,48434424,37058469,11375955,6895179,4155181,2739998,30325680,23634478,6691202,44407,22235,22172,674896,0,674896,9869447,9246575,622872,624815,0,624815,27192670,23995894,3196776,1528775,1446014,82761,25663895,22549880,3114015,1580,3,1577,688582,532167,156415,535787,389735,146052,152795,142432,10363,448061,321541,126520,19167586,19167586,NA,129761079,129761079,NA
0400000US44,44,Rhode Island,711516,583328,128188,195957,176074,19883,515559,407254,108305,263461,263137,324,252098,144117,107981,137213,128449,8764,1112960,915559,197401,1073502,881219,192283,13649,12937,712,25809,21403,4406,8095287,7256227,839060,195521,179475,16046,42738,31009,11729,152783,148466,4317,6605227,5796610,808617,892751,819615,73136,892751,819615,73136,455569,399497,56072,437182,420118,17064,0,0,0,5712476,4976995,735481,1015731,892757,122974,3434935,2938945,495990,0,0,0,47075,0,47075,1187798,1145293,42505,26937,0,26937,1294539,1280142,14397,0,0,0,1294539,1280142,14397,14,2,12,45784,40499,5285,37533,32550,4983,8251,7949,302,33170,26375,6795,1976025,1976025,NA,12141460,12141460,NA
0400000US45,45,South Carolina,1646360,1644208,2152,674449,674311,138,971911,969897,2014,306937,306769,168,664974,663128,1846,182396,181171,1225,2986886,2982520,4366,2568186,2564157,4029,98461,98461,0,320239,319902,337,25645275,25600710,44565,2138256,2128954,9302,2136882,2128954,7928,1374,0,1374,21556668,21521405,35263,1536805,1527781,9024,1536805,1527781,9024,427241,423317,3924,1109564,1104464,5100,0,0,0,20019863,19993624,26239,2364526,2358954,5572,1884024,1863357,20667,0,0,0,12516005,12516005,0,3255308,3255308,0,0,0,0,1950351,1950351,0,0,0,0,1950351,1950351,0,6,4,2,384837,384685,152,214762,214619,143,170075,170066,9,129469,129281,188,8797660,8797660,NA,43452229,43452229,NA
0400000US46,46,South Dakota,214026,200351,13675,103654,100484,3170,110372,99867,10505,38059,38059,0,72313,61808,10505,160476,143722,16754,447940,429220,18720,392715,375118,17597,22249,22130,119,32976,31972,1004,8247556,7904834,342722,267195,266015,1180,7403,6223,1180,259792,259792,0,6814988,6493996,320992,563894,555201,8693,557008,555201,1807,384735,383290,1445,172273,171911,362,6886,0,6886,6251094,5938795,312299,1181524,1115575,65949,4059060,3887036,172024,0,0,0,0,0,0,1010510,936184,74326,0,0,0,1165373,1144823,20550,20550,0,20550,1144823,1144823,0,4,2,2,54228,53070,1158,39300,38207,1093,14928,14863,65,23426,22642,784,1503000,1503000,NA,8514543,8514543,NA
0400000US47,47,Tennessee,1580073,1266469,313604,317659,263756,53903,1262414,1002713,259701,404350,385454,18896,858064,617259,240805,2004840,1832443,172397,2451232,1843243,607989,2325145,1763605,561540,59060,40092,18968,67027,39546,27481,42880758,35594563,7286195,1045824,844749,201075,600033,426627,173406,445791,418122,27669,38618055,33245446,5372609,8771219,8251135,520084,8766242,8251135,515107,2638227,2488991,149236,6128015,5762144,365871,4977,0,4977,29846836,24994311,4852525,6712539,5632947,1079592,15848734,13061174,2787560,75566,0,75566,22897,0,22897,7052730,6300190,752540,134370,0,134370,3216879,1504368,1712511,1592556,1349052,243504,1624323,155316,1469007,15,1,14,282249,243118,39131,242861,210493,32368,39388,32625,6763,146793,122499,24294,8413300,8413300,NA,40069300,40069300,NA
0400000US48,48,Texas,7687878,6391341,1296537,3723773,3286681,437092,3964105,3104660,859445,1549339,1536262,13077,2414766,1568398,846368,13235378,12557621,677757,13854323,11975797,1878526,12591536,10922704,1668832,770615,726743,43872,492172,326350,165822,205696108,178705835,26990273,5914129,4668390,1245739,1589052,1366514,222538,4325077,3301876,1023201,143668444,125033927,18634517,31135541,29713736,1421805,30968942,29547534,1421408,27859878,26796175,1063703,3109064,2751359,357705,166599,166202,397,112532903,95320191,17212712,14171912,9793635,4378277,48998830,39448993,9549837,0,0,0,558921,311853,247068,45126535,42186945,2939590,3676705,3578765,97940,56113535,49003518,7110017,1977621,136357,1841264,54135914,48867161,5268753,132,7,125,1737601,1625099,112502,1440359,1348816,91543,297242,276283,20959,573622,519595,54027,52979966,52979966,NA,220046043,220046043,NA
0400000US49,49,Utah,802416,792164,10252,38714,38577,137,763702,753587,10115,753587,753587,0,10115,0,10115,543051,545772,-2721,1146751,1143003,3748,1086943,1083497,3446,5190,5190,0,54618,54316,302,20926717,20796456,130261,1029841,1017508,12333,8519,110,8409,1021322,1017398,3924,11470104,11352176,117928,2173032,2173032,0,2173032,2173032,0,395686,395686,0,1777346,1777346,0,0,0,0,9297072,9179144,117928,998431,950072,48359,4645839,4576270,69569,6854,6854,0,14720,14720,0,3631228,3631228,0,0,0,0,8426772,8426772,0,2885926,2885926,0,5540846,5540846,0,9,8,1,143801,141724,2077,106512,104691,1821,37289,37033,256,48728,48403,325,4548757,4548757,NA,26903003,26903003,NA
0400000US50,50,Vermont,165413,151566,13847,69703,67510,2193,95710,84056,11654,85171,84056,1115,10539,0,10539,554648,549665,4983,265497,251148,14349,240062,229899,10163,4621,4284,337,20814,16965,3849,3402728,3264252,138476,148602,10553,138049,14153,10553,3600,134449,0,134449,3253167,3252740,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3253167,3252740,427,219,0,219,0,0,0,0,0,0,208,0,208,0,0,0,3252740,3252740,0,959,959,0,0,0,0,959,959,0,5,3,2,33835,32603,1232,25958,25098,860,7877,7505,372,14954,14429,525,1187075,1187075,NA,4614572,4614572,NA
0400000US51,51,Virginia,2507101,1926300,580801,374119,231000,143119,2132982,1695300,437682,572104,560500,11604,1560878,1134800,426078,1165597,940528,225069,4814823,3817149,997674,4331521,3401800,929721,102103,88900,13203,381199,326449,54750,64085939,52503272,11582667,1206443,480749,725694,281954,232763,49191,924489,247986,676503,58204502,48326672,9877830,1134835,0,1134835,1134729,0,1134729,894369,0,894369,240360,0,240360,106,0,106,57069667,48326672,8742995,19971352,18369325,1602027,27407099,23907607,3499492,0,0,0,916110,0,916110,1494889,0,1494889,7280217,6049740,1230477,4674994,3695851,979143,3818189,3695851,122338,856805,0,856805,19,1,18,521597,453258,68339,398979,341826,57153,122618,111432,11186,202169,162751,39418,15224000,15224000,NA,78423000,78423000,NA
0400000US53,53,Washington,1894370,1678500,215870,619484,542201,77283,1274886,1136299,138587,1142371,1135417,6954,132515,882,131633,1031123,985960,45163,3531891,3314133,217758,3257899,3060186,197713,63391,58430,4961,210601,195517,15084,60583594,57455811,3127783,1440199,1393480,46719,75747,37736,38011,1364452,1355744,8708,30055707,27769595,2286112,151966,0,151966,151714,0,151714,126880,0,126880,24834,0,24834,252,0,252,29903741,27769595,2134146,13291411,12711542,579869,16215771,15058053,1157718,0,0,0,30044,0,30044,366515,0,366515,0,0,0,29087688,28292736,794952,8249405,8099861,149544,20838283,20192875,645408,26,6,20,301363,285504,15859,251293,238260,13033,50070,47244,2826,147500,138167,9333,16081000,16081000,NA,64693000,64693000,NA
0400000US54,54,West Virginia,907851,861278,46573,167451,161458,5993,740400,699820,40580,503675,495236,8439,236725,204584,32141,175348,164435,10913,1009080,964992,44088,969170,926708,42462,29341,28703,638,10569,9581,988,10565314,10298200,267114,281028,240880,40148,12421,492,11929,268607,240388,28219,8603128,8380801,222327,314815,264887,49928,313864,264887,48977,304432,264887,39545,9432,0,9432,951,0,951,8288313,8115914,172399,2110828,2069512,41316,3623883,3507827,116056,0,0,0,4276,0,4276,2538575,2538575,0,10751,0,10751,1681158,1676519,4639,637720,637691,29,1043438,1038828,4610,41,1,40,95755,94055,1700,75977,74333,1644,19778,19722,56,57007,54890,2117,2940249,2940249,NA,15929982,15929982,NA
0400000US55,55,Wisconsin,1696936,1621877,75059,906903,860918,45985,790033,760959,29074,201375,200577,798,588658,560382,28276,981582,862583,118999,4969896,4384108,585788,4688789,4136885,551904,4599,0,4599,276508,247223,29285,86724726,80717014,6007712,2754570,2639447,115123,2671997,2639447,32550,82573,0,82573,80085138,74797178,5287960,14069112,13234934,834178,14069079,13234934,834145,13416661,13234934,181727,652418,0,652418,33,0,33,66016026,61562244,4453782,10641183,9625406,1015777,53415645,51936838,1478807,0,0,0,50343,0,50343,1710342,0,1710342,198513,0,198513,3885018,3280389,604629,810016,508544,301472,3075002,2771845,303157,3,1,2,437103,416093,21010,285257,270139,15118,151846,145954,5892,179273,160341,18932,12855600,12855600,NA,79039300,79039300,NA
0400000US56,56,Wyoming,272391,272391,X,134903,134903,X,137488,137488,X,30039,30039,X,107449,107449,X,-45318,-45318,X,427822,427822,X,373479,373479,X,18541,18541,X,35802,35802,X,6233595,6233595,X,356751,356751,X,5322,5322,X,351429,351429,X,5212641,5212641,X,387665,387665,X,387665,387665,X,337894,337894,X,49771,49771,X,0,0,X,4824976,4824976,X,787480,787480,X,1782978,1782978,X,360710,360710,X,52999,52999,X,1840809,1840809,X,0,0,X,664203,664203,X,0,0,X,664203,664203,X,6,6,X,47455,47455,X,41795,41795,X,5660,5660,X,23166,23166,X,1964750,1964750,X,7965079,7965079,X
