GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
lvl1_C038,State; Total membership
lvl2_C038,Local; Total membership
lvl0_C039,State and Local; Total membership - Active membership
lvl1_C039,State; Total membership - Active membership
lvl2_C039,Local; Total membership - Active membership
lvl0_C040,State and Local; Total membership - Inactive membership
lvl1_C040,State; Total membership - Inactive membership
lvl2_C040,Local; Total membership - Inactive membership
lvl0_C042,State and Local; Total beneficiaries receiving periodic benefit payments
lvl1_C042,State; Total beneficiaries receiving periodic benefit payments
lvl2_C042,Local; Total beneficiaries receiving periodic benefit payments
lvl0_C044,State and Local; Covered payroll
lvl1_C044,State; Covered payroll
lvl2_C044,Local; Covered payroll
lvl0_C046,State and Local; Pension Obligations
lvl1_C046,State; Pension Obligations
lvl2_C046,Local; Pension Obligations
