
01000000003701Z76           00606NR
01000000003701Z75        29410606AC
01000000003701Z01        29410606AC
01000000003701Z02          790606AD
01000000003701Z03        19230606AC
01000000003701Z04           70606AD
01000000003701Z05           00606NR
01000000003701Z06          11060612
01000000003701Z07           2060612
01000000003701Z08      318672060612
01000000003701Z09        10830606AD
01000000003701Z10           00606NR
01000000003701Z11        8955060612
01000000003701Z12        7090060612
01000000003701Z74           00606NR
01000000003701V01           00606NR
01000000003701V02           00606NR
01000000003701V03           00606NR
01000000003701V04           00606NR
01000000003701V05           00606NR
01000000003701V07           00606NR
01000000003701Z71         449060612
01000000003701Z62        1481060612
01000000003701Z63        2076060612
01000000003701Z70           00606NR
01000000003701Z13        3775060612
01000000003701Z14          130606NR
01000000003701Z15         1420606NR
01000000003701Z16           0060612
01105105110000X01        1641060611
01105105110000X04        4167060611
01105105110000X05         282060611
01105105110000Z72         389060611
01105105110000Z73           0060611
01105105110000X08        40650606AC
01105105110000Z97           00606NR
01105105110000Z96        1522060611
01105105110000Z95           0060611
01105105110000X11        3556060611
01105105110000X12         253060611
01105105110000Z93         237060611
01105105110000Z92           00606NR
01105105110000Z91           00606NR
01105105110000Z90           0060611
01105105110000Z88        2998060611
01105105110000Z87           0060611
01105105110000Z68        2706060611
01105105110000X21        5704060611
01105105110000Z89       32825060611
01105105110000X33           0060611
01105105110000X30       32825060611
01105105110000X42           0060611
01105105110000Z84           0060611
01105105110000X35           0060611
01105105110000Z83           0060611
01105105110000X44         268060611
01105105110000X46           0060611
01105105110000X47           0060611
01105105110000Z82           0060611
01105105110000Z81       72258060611
01105105110000Z78       21532060611
01105105110000Z77       11929060611
01105105110000Z01         730060611
01105105110000Z02           9060611
01105105110000Z03         173060611
01105105110000Z04          38060611
01105105110000Z05          55060611
01105105110000Z06           2060611
01105105110000Z07           0060611
01105105110000Z08      2173480606AC
01105105110000Z09       407050606AC
01105105110000Z10       382640606AC
01105105110000Z11        1699060611
01105105110000Z12           0060611
01105105110000Z74           00606NR
01105105110000V01           00606NR
01105105110000V02           00606NR
01105105110000V03           00606NR
01105105110000V04           00606NR
01105105110000V05           00606NR
01105105110000V07           00606NR
01105105110000Z71        2154060611
01105105110000Z62           0060611
01105105110000Z63       11929060611
01105105110000Z70         268060611
01105105110000Z13        2609060611
01105105110000Z14         488060611
