01000000003701V01           00303NR
01000000003701V02           00303NR
01000000003701V03           00303NR
01000000003701V04           00303NR
01000000003701V05           00303NR
01000000003701V07           00303NR
01000000003701Z71         691030312
01000000003701Z62        3100030312
01000000003701Z63        4749030312
01000000003701Z70           0030312
01105105110000X01        1333030311
01105105110000X04        3665030311
01105105110000X05           00303NR
01105105110000Z72         119030311
01105105110000Z73           00303NR
01105105110000X08        23940303AC
01105105110000Z97           00303NR
01105105110000Z96         322030311
01105105110000Z95           00303NR
01105105110000X11        2972030311
01105105110000X12         164030311
01105105110000Z93         184030311
01105105110000Z92           00303NR
01105105110000Z91         291030311
01105105110000Z90           00303NR
01105105110000Z88         931030311
01105105110000Z87           00303NR
01105105110000Z68        1519030311
01105105110000X21        2450030311
01105105110000Z89       41900030311
01105105110000X33        2255030311
01105105110000X30       44155030311
01105105110000X42           00303NR
01105105110000Z84           00303NR
01105105110000X35           00303NR
01105105110000Z83           00303NR
01105105110000X44           00303NR
01105105110000X46           00303NR
01105105110000X47           9030311
01105105110000Z82           9030311
01105105110000Z81       549500303AE
01105105110000Z78        8336030311
01105105110000Z77           00303NR
01105105110000Z01         733030311
01105105110000Z02           00303NR
01105105110000Z03         151030311
01105105110000Z04          39030311
01105105110000Z05          52030311
01105105110000Z06           5030311
01105105110000Z07          90030311
01105105110000Z08      162995030311
01105105110000Z09       30862030311
01105105110000Z10       27555030311
01105105110000Z11       11343030311
01105105110000Z12           00303NR
01105105110000Z74         733030311
01105105110000V01           00303NR
01105105110000V02           00303NR
01105105110000V03           00303NR
01105105110000V04           00303NR
01105105110000V05           00303NR
01105105110000V07           00303NR
01105105110000Z71        2244030311
01105105110000Z62           00303NR
01105105110000Z63           00303NR
01105105110000Z70           00303NR
01203500410000X01        2543030311
01203500410000X04        2543030311
01203500410000X05           00303NR
01203500410000Z72           00303NR
01203500410000Z73           00303NR
01203500410000X08       -15880303AD
01203500410000Z97           00303NR
01203500410000Z96           00303NR
01203500410000Z95           00303NR
01203500410000X11        5612030311
01203500410000X12         380030311
01203500410000Z93         294030311
01203500410000Z92           00303NR
01203500410000Z91        1588030311
01203500410000Z90           00303NR
01203500410000Z88         814030311
01203500410000Z87       44126030311
01203500410000Z68           00303NR
01203500410000X21       44940030311
01203500410000Z89           00303NR
