01203500410000Z91         3389494AD
01203500410000Z93         132949471
01203700310000X01        8505949471
01203700310000X04        9268949471
01203700310000X08       47055949471
01203700310000X11       17443949471
01203700310000X12         971949471
01203700310000X21       16104949471
01203700310000X30      137225949471
01203700310000X33       25019949471
01203700310000X35         2859494AD
01203700310000X40       64552949471
01203700310000X41      180026949471
01203700310000Z01        3467949471
01203700310000Z03         783949471
01203700310000Z04         297949471
01203700310000Z05         268949471
01203700310000Z06           39494AD
01203700310000Z08     1409850949471
01203700310000Z09      534772949471
01203700310000Z10      191072949471
01203700310000Z11        4200949471
01203700310000Z68       16104949471
01203700310000Z72        6810949471
01203700310000Z73       20429949471
01203700310000Z77       544609494AD
01203700310000Z78      1781089494AD
01203700310000Z79       64552949471
01203700310000Z81      398192949471
01203700310000Z89      112206949471
01203700310000Z93        1155949471
01203700310000Z96       19816949471
01203700310100X01        1391949471
01203700310100X04        1395949471
01203700310100X08        1759949471
01203700310100X11        4302949471
01203700310100X12          87949471
01203700310100X21         542949471
01203700310100X30        1751949471
01203700310100X40       26532949471
01203700310100Z01        1338949471
01203700310100Z03         273949471
01203700310100Z04           3949471
01203700310100Z05          77949471
01203700310100Z06           39494AD
01203700310100Z08      320229949471
01203700310100Z09         207949471
01203700310100Z10       29982949471
01203700310100Z11        2772949471
01203700310100Z68          21949471
01203700310100Z73        1759949471
01203700310100Z77         4009494AD
01203700310100Z79       26532949471
01203700310100Z81       28825949471
01203700310100Z87          959494AD
01203700310100Z88         4269494AD
01203700310100Z89        1751949471
01203700310100Z93         569949471
01203700310200X01         328949471
01203700310200X04         328949471
01203700310200X08         840949471
01203700310200X11         236949471
01203700310200X12          24949471
01203700310200X21         692949471
01203700310200X30        1643949471
01203700310200X40       12040949471
01203700310200Z01         158949471
01203700310200Z03          22949471
01203700310200Z08       208779494BC
01203700310200Z68         623949471
01203700310200Z73         840949471
01203700310200Z79       120409494AD
01203700310200Z81       14375949471
01203700310200Z87          659494AD
01203700310200Z88           49494AD
01203700310200Z89        1643949471
01203700310200Z93           6949471
01205100110000X01        3320949471
01205100110000X04        3601949471
01205100110000X08       12548949471
01205100110000X11        6599949471
01205100110000X12         763949471
01205100110000X21         619949471
01205100110000X30       68533949471
01205100110000X40       25444949471
01205100110000X41       32264949471
01205100110000Z01        2770949471
01205100110000Z03         759949471
01205100110000Z04          74949471
01205100110000Z05          36949471
01205100110000Z06          11949471
01205100110000Z08      573476949471
01205100110000Z09       33256949471
01205100110000Z10       12812949471
01205100110000Z11       35537949471
01205100110000Z72        1172949471
01205100110000Z73        6753949471
01205100110000Z77       26453949471
01205100110000Z78       40247949471
01205100110000Z79       25444949471
01205100110000Z81      126860949471
01205100110000Z88         619949471
01205100110000Z89       68533949471
01205100110000Z93         314949471
01205100110000Z96        4623949471
01205700210000X01         144949471
01205700210000X04         144949471
01205700210000X11         321949471
01205700210000X12          66949471
01205700210000X21        3111949471
01205700210000Z01          95949471
01205700210000Z03          32949471
01205700210000Z08       26787949471
01205700210000Z81        3111949471
01205700210000Z87        3077949471
01205700210000Z88          34949471
01206300210000X01         620949471
01206300210000X04        1151949471
01206300210000X08        3224949471
01206300210000X11        2810949471
01206300210000X12          23949471
01206300210000X21        2005949471
01206300210000X30       19416949471
01206300210000X41       14784949471
01206300210000X42          489494AD
01206300210000X44         413949471
01206300210000Z01         365949471
01206300210000Z03         119949471
01206300210000Z04           9949471
01206300210000Z05          41949471
01206300210000Z08      203516949471
01206300210000Z09        8750949471
01206300210000Z10       25516949471
01206300210000Z68        1642949471
01206300210000Z72        2172949471
01206300210000Z73        1052949471
01206300210000Z81       36666949471
01206300210000Z83         413949471
01206300210000Z87         360949471
01206300210000Z88           3949471
01206300210000Z89       19416949471
01206300210000Z93         191949471
02000000001605X01       43133949471
02000000001605X02        4772949471
02000000001605X05       54131949471
02000000001605X06        6359949471
02000000001605X08      182583949471
02000000001605X11      116492949471
02000000001605X12        2258949471
02000000001605X21       70066949471
02000000001605X30      510037949471
02000000001605X33       22856949471
02000000001605X40      4288719494AD
02000000001605X41      8591989494AD
02000000001605X42        3733949471
02000000001605X44      310312949471
02000000001605X46       69397949471
02000000001605Z01        9785949471
