"Date","Region","Pension assets (millions)","Pension liabilities (millions)","Funding status (millions)","Assets as a percent of liabilities","Funding status as a percent of state GDP","Funding status as a percent of state revenue"
2008,"United States","2464636.793","3798991.000","-1334354.207","64.876","-9.123","-50.913"
2008,"Alabama","24402.265","42785.251","-18382.986","57.034","-10.580","-59.364"
2008,"Alaska","8341.545","17019.039","-8677.494","49.013","-15.853","-45.463"
2008,"Arizona","27532.408","52182.629","-24650.221","52.762","-9.523","-52.324"
2008,"Arkansas","15461.654","21857.054","-6395.400","70.740","-6.247","-32.605"
2008,"California","475575.542","681611.397","-206035.855","69.772","-10.316","-58.513"
2008,"Colorado","39294.008","72088.234","-32794.226","54.508","-12.841","-69.537"
2008,"Connecticut","25321.278","60305.516","-34984.238","41.988","-15.107","-107.129"
2008,"Delaware","6175.540","8102.103","-1926.563","76.221","-3.546","-22.921"
2008,"District of Columbia","6126.136","4765.549","1360.587","128.550","1.380","11.542"
2008,"Florida","121674.677","151375.488","-29700.811","80.379","-3.937","-19.986"
2008,"Georgia","58835.936","98148.407","-39312.471","59.946","-9.544","-53.826"
2008,"Hawaii","9012.271","17139.014","-8126.743","52.583","-12.230","-67.900"
2008,"Idaho","8577.964","11083.559","-2505.595","77.394","-4.452","-23.786"
2008,"Illinois","103793.783","229726.560","-125932.777","45.181","-19.482","-122.669"
2008,"Indiana","19912.338","31515.930","-11603.592","63.182","-4.224","-24.715"
2008,"Iowa","19918.568","24211.613","-4293.045","82.269","-3.139","-17.199"
2008,"Kansas","11647.217","19111.719","-7464.502","60.943","-5.923","-33.015"
2008,"Kentucky","23611.064","48395.728","-24784.664","48.787","-15.621","-84.054"
2008,"Louisiana","29341.030","58089.686","-28748.656","50.510","-13.167","-63.827"
2008,"Maine","8473.652","14054.566","-5580.914","60.291","-11.177","-52.673"
2008,"Maryland","39866.874","69156.802","-29289.928","57.647","-9.842","-65.202"
2008,"Massachusetts","49231.507","102028.289","-52796.782","48.253","-13.748","-80.274"
2008,"Michigan","69963.168","97981.234","-28018.066","71.405","-7.273","-40.554"
2008,"Minnesota","40212.057","65257.214","-25045.157","61.621","-9.441","-54.853"
2008,"Mississippi","19247.179","30658.555","-11411.376","62.779","-12.055","-48.509"
2008,"Missouri","42743.261","79528.799","-36785.538","53.746","-14.772","-87.657"
2008,"Montana","6025.564","9934.041","-3908.477","60.656","-10.689","-45.899"
2008,"Nebraska","8408.223","12672.576","-4264.353","66.350","-4.976","-24.940"
2008,"Nevada","18490.192","31755.399","-13265.207","58.227","-10.299","-66.355"
