01000000003701Z11           0090912
01000000003701Z12           0090912
01000000003701Z13        4366090912
01000000003701Z14           0090912
01000000003701Z15           0090912
01000000003701Z16           0090912
01000000003701Z62           0090912
01000000003701Z63        2547090912
01000000003701Z68        8264090912
01000000003701Z70           0090912
01000000003701Z71         4720909AD
01000000003701Z72         1120909AD
01000000003701Z73           0090912
01000000003701Z74           00909NR
01000000003701Z77        2547090912
01000000003701Z78         160090912
01000000003701Z81       18124090912
01000000003701Z82           0090912
01000000003701Z83           0090912
01000000003701Z84           0090912
01000000003701Z87           0090912
01000000003701Z88         261090912
01000000003701Z89        2030090912
01000000003701Z90           0090912
01000000003701Z91         8900909NR
01000000003701Z92           00909NR
01000000003701Z93         463090912
01000000003701Z95           0090912
01000000003701Z96           0090912
01000000003701Z97           00909NR
01103703710000X04       12186090911
01103703710000V01           00909NR
01103703710000V02           00909NR
01103703710000V03           00909NR
01103703710000V04           00909NR
01103703710000V05           00909NR
01103703710000V07           00909NR
01103703710000X01        9860090911
01103703710000X05           00909NR
01103703710000X08     -243184090911
01103703710000X11       23943090911
01103703710000X12        1769090911
01103703710000X21       24216090911
01103703710000X30       22704090911
01103703710000X33       15146090911
01103703710000X35           00909NR
01103703710000X42           00909NR
01103703710000X44      253851090911
01103703710000X46           00909NR
01103703710000X47       58048090911
01103703710000Z01        3466090911
01103703710000Z02           00909NR
01103703710000Z03         637090911
01103703710000Z04          32090911
01103703710000Z05          44090911
01103703710000Z06          18090911
01103703710000Z07           00909NR
01103703710000Z08     1410431090911
01103703710000Z09       51072090911
01103703710000Z10       50922090911
01103703710000Z11      114166090911
01103703710000Z12           00909NR
01103703710000Z13       20231090911
01103703710000Z14         969090911
01103703710000Z15        2092090911
01103703710000Z16         651090911
01103703710000Z62       10457090911
01103703710000Z63       77704090911
01103703710000Z68       22871090911
01103703710000Z70       57996090911
01103703710000Z71       24989090911
01103703710000Z72           00909NR
01103703710000Z73           00909NR
01103703710000Z74           00909NR
01103703710000Z77       88161090911
01103703710000Z78      192375090911
01103703710000Z81      639355090911
01103703710000Z82       58048090911
01103703710000Z83      195855090911
01103703710000Z84           00909NR
01103703710000Z87           00909NR
01103703710000Z88        1345090911
01103703710000Z89        7558090911
01103703710000Z90           00909NR
01103703710000Z91      268173090911
01103703710000Z92           00909NR
01103703710000Z93        2048090911
01103703710000Z95           00909NR
01103703710000Z96           00909NR
01103703710000Z97           00909NR
01105105110000X04        5344090911
01105105110000V01           0090911
01105105110000V02           00909NR
01105105110000V03           00909NR
01105105110000V04           00909NR
01105105110000V05           00909NR
01105105110000V07           00909NR
01105105110000X01        1879090911
01105105110000X05          60090911
01105105110000X08      -100190909AC
01105105110000X11        4472090911
01105105110000X12         210090911
01105105110000X21       51994090911
01105105110000X30           0090911
01105105110000X33           0090911
01105105110000X35           0090911
01105105110000X42           0090911
01105105110000X44        4769090911
01105105110000X46           0090911
01105105110000X47           0090911
01105105110000Z01         777090911
01105105110000Z02          10090911
01105105110000Z03         194090911
01105105110000Z04          55090911
01105105110000Z05          50090911
01105105110000Z06           1090911
01105105110000Z07           0090911
01105105110000Z08      298000090911
01105105110000Z09       60000090911
01105105110000Z10       40000090911
01105105110000Z11       33052090911
01105105110000Z12           0090911
01105105110000Z13        3272090911
01105105110000Z14         720090911
01105105110000Z15         480090911
01105105110000Z16           0090911
01105105110000Z62           0090911
01105105110000Z63           0090911
01105105110000Z68           0090911
01105105110000Z70        4769090911
01105105110000Z71        1733090911
01105105110000Z72         971090911
01105105110000Z73           0090911
01105105110000Z74           00909NR
01105105110000Z77           0090911
01105105110000Z78       27983090911
01105105110000Z81       84746090911
01105105110000Z82           0090911
01105105110000Z83           0090911
01105105110000Z84           0090911
01105105110000Z87        1150090911
01105105110000Z88       50844090911
01105105110000Z89           0090911
01105105110000Z90           0090911
01105105110000Z91       12723090911
01105105110000Z92           00909NR
01105105110000Z93         552090911
01105105110000Z95           0090911
01105105110000Z96           00909NR
01105105110000Z97           00909NR
01200800110000X04         678090911
01200800110000V01           00909NR
01200800110000V02           00909NR
01200800110000V03           00909NR
01200800110000V04           00909NR
01200800110000V05           00909NR
01200800110000V07           00909NR
01200800110000X01         678090911
01200800110000X05         4220909NR
01200800110000X08       -2985090911
01200800110000X11        2994090911
01200800110000X12           00909NR
01200800110000X21        1335090911
01200800110000X30           00909NR
01200800110000X33           00909NR
01200800110000X35           00909NR
01200800110000X42           00909NR
01200800110000X44           00909NR
01200800110000X46        1830090911
01200800110000X47           0090911
01200800110000Z01         168090911
01200800110000Z02           00909NR
01200800110000Z03         100090911
01200800110000Z04          28090911
01200800110000Z05          30090911
01200800110000Z06           00909NR
01200800110000Z07           00909NR
01200800110000Z08      157917090911
01200800110000Z09       44250090911
01200800110000Z10       47333090911
01200800110000Z11           00909NR
01200800110000Z12           00909NR
01200800110000Z13        1895090911
01200800110000Z14         531090911
01200800110000Z15         568090911
01200800110000Z16           00909NR
01200800110000Z62           00909NR
01200800110000Z63       12916090911
01200800110000Z68           00909NR
01200800110000Z70           00909NR
01200800110000Z71         440090911
01200800110000Z72         227090911
01200800110000Z73           4090911
01200800110000Z74           00909NR
01200800110000Z77       12916090911
01200800110000Z78        67960909NR
01200800110000Z81       22877090911
01200800110000Z82        1830090911
01200800110000Z83           00909NR
01200800110000Z84           00909NR
01200800110000Z87           00909NR
01200800110000Z88        1335090911
01200800110000Z89           00909NR
01200800110000Z90           00909NR
01200800110000Z91        3656090911
01200800110000Z92           00909NR
01200800110000Z93         216090911
01200800110000Z95           00909NR
01200800110000Z96           00909NR
01200800110000Z97           00909NR
01203700310000X04       12792090911
01203700310000V01           00909NR
01203700310000V02           00909NR
01203700310000V03           00909NR
01203700310000V04           00909NR
01203700310000V05           00909NR
01203700310000V07           00909NR
01203700310000X01       12487090911
01203700310000X05           00909NR
01203700310000X08      -96117090911
01203700310000X11       57388090911
01203700310000X12         586090911
01203700310000X21           00909NR
01203700310000X30      194887090911
01203700310000X33           00909NR
01203700310000X35           00909NR
01203700310000X42           00909NR
01203700310000X44           00909NR
01203700310000X46           00909NR
01203700310000X47           00909NR
01203700310000Z01        3782090911
01203700310000Z02         205090911
01203700310000Z03        1591090911
01203700310000Z04         410090911
01203700310000Z05         463090911
