01000000003401X02       82833111112
01000000003401X06      183221111112
01000000003401Z99      183221111112
01000000003401V87           01111NR
01000000003401Z98           01111NR
01000000003401Z76       831051111AD
01000000003401Z75           01111NR
01000000003401V01           0111112
01000000003401V02           01111NR
01000000003401V03           01111NR
01000000003401V04           01111NR
01000000003401V05           01111NR
01000000003401V07           01111NR
01000000003401X01      110864111112
01000000003401X05      211777111112
01000000003401X08      312005111112
01000000003401X11      782957111112
01000000003401X12       36798111112
01000000003401X21      305818111112
01000000003401X30      323014111112
01000000003401X33       21681111112
01000000003401X35           01111NR
01000000003401X42           01111NR
01000000003401X44      999317111112
01000000003401X46      909719111112
01000000003401X47           01111NR
01000000003401Z01       83105111112
01000000003401Z02       13500111112
01000000003401Z03       31468111112
01000000003401Z04        3680111112
01000000003401Z05        3434111112
01000000003401Z06         323111112
01000000003401Z07           8111112
01000000003401Z08    53953000111112
01000000003401Z09     3861000111112
01000000003401Z10     2928000111112
01000000003401Z11     1752000111112
01000000003401Z12      353000111112
01000000003401Z13      628208111112
01000000003401Z14       45148111112
01000000003401Z15       34428111112
01000000003401Z16       75173111112
01000000003401Z62      279905111112
01000000003401Z63     1589252111112
01000000003401Z68      303210111112
01000000003401Z70      999317111112
01000000003401Z71      170108111112
01000000003401Z72      137044111112
01000000003401Z73        4853111112
01000000003401Z74           01111NR
01000000003401Z77     1869157111112
01000000003401Z78     3335278111112
01000000003401Z81     7742303111112
01000000003401Z82      909719111112
01000000003401Z83           01111NR
01000000003401Z84           01111NR
01000000003401Z87           01111NR
01000000003401Z88        2608111112
01000000003401Z89      301333111112
01000000003401Z90           01111NR
01000000003401Z91           01111NR
01000000003401Z92           01111NR
01000000003401Z93       18793111112
01000000003401Z95           01111NR
01000000003401Z96           01111NR
01000000003401Z97           01111NR
01000000003402X02           01111NR
01000000003402X06           01111NR
01000000003402Z99           01111NR
01000000003402V87           01111NR
01000000003402Z98           01111NR
01000000003402Z76      1288971111AD
01000000003402Z75           01111NR
01000000003402V01           0111112
01000000003402V02           01111NR
01000000003402V03           01111NR
01000000003402V04           01111NR
01000000003402V05           01111NR
01000000003402V07           01111NR
01000000003402X01      321137111112
01000000003402X05      779664111112
01000000003402X08      3572701111AE
01000000003402X11     1673881111112
01000000003402X12       49304111112
01000000003402X21      337160111112
01000000003402X30      711948111112
01000000003402X33       51307111112
01000000003402X35           01111NR
01000000003402X42           01111NR
01000000003402X44     2251886111112
01000000003402X46     1870629111112
01000000003402X47           01111NR
01000000003402Z01      128897111112
01000000003402Z02       24097111112
01000000003402Z03       64853111112
01000000003402Z04        4672111112
01000000003402Z05        3859111112
01000000003402Z06         792111112
01000000003402Z07          13111112
01000000003402Z08   119167995111112
01000000003402Z09     4290487111112
01000000003402Z10     4432329111112
01000000003402Z11     4188000111112
01000000003402Z12      754000111112
01000000003402Z13     1386161111112
01000000003402Z14       50239111112
01000000003402Z15       51784111112
01000000003402Z16      185697111112
01000000003402Z62      618704111112
01000000003402Z63     3241841111112
01000000003402Z68      327094111112
01000000003402Z70     2251886111112
01000000003402Z71      343293111112
01000000003402Z72      281253111112
01000000003402Z73       11131111112
01000000003402Z74           01111NR
01000000003402Z77     3860545111112
01000000003402Z78     6878428111112
01000000003402Z81    15910596111112
01000000003402Z82     1870629111112
01000000003402Z83           01111NR
01000000003402Z84           01111NR
01000000003402Z87           01111NR
01000000003402Z88       10066111112
01000000003402Z89      660641111112
01000000003402Z90           01111NR
01000000003402Z91      278407111112
01000000003402Z92           01111NR
01000000003402Z93       22516111112
01000000003402Z95           01111NR
01000000003402Z96           01111NR
01000000003402Z97           01111NR
01000000003403X02        2556111112
01000000003403X06       10906111112
01000000003403Z99       10906111112
01000000003403V87           01111NR
01000000003403Z98           01111NR
01000000003403Z76         3361111NR
01000000003403Z75           01111NR
01000000003403V01           0111112
01000000003403V02           01111NR
01000000003403V03           01111NR
01000000003403V04           01111NR
01000000003403V05           01111NR
01000000003403V07           01111NR
01000000003403X01           01111NR
01000000003403X05           01111NR
01000000003403X08        2022111112
01000000003403X11       26379111112
01000000003403X12          34111112
01000000003403X21        9096111112
01000000003403X30       15698111112
01000000003403X33         724111112
01000000003403X35           01111NR
01000000003403X42           01111NR
01000000003403X44       30075111112
01000000003403X46        2946111112
