01000000003701Z11       11015080812
01000000003701Z12       12128080812
01000000003701Z13        4216080812
01000000003701Z14           0080812
01000000003701Z15           0080812
01000000003701Z16           0080812
01000000003701Z62           0080812
01000000003701Z63        1931080812
01000000003701Z68       11022080812
01000000003701Z70           0080812
01000000003701Z71         487080812
01000000003701Z72         116080812
01000000003701Z73           0080812
01000000003701Z74           00808NR
01000000003701Z77        1931080812
01000000003701Z78         147080812
01000000003701Z81       18972080812
01000000003701Z82          14080812
01000000003701Z83           0080812
01000000003701Z84           0080812
01000000003701Z87           0080812
01000000003701Z88         222080812
01000000003701Z89        1430080812
01000000003701Z90           0080812
01000000003701Z91           00808NR
01000000003701Z92           00808NR
01000000003701Z93         424080812
01000000003701Z95           0080812
01000000003701Z96        1554080812
01000000003701Z97           00808NR
01105105110000X04        4781080811
01105105110000V01           0080811
01105105110000V02           00808NR
01105105110000V03           00808NR
01105105110000V04           00808NR
01105105110000V05           00808NR
01105105110000V07           00808NR
01105105110000X01        1738080811
01105105110000X05          57080811
01105105110000X08       111320808AE
01105105110000X11        3957080811
01105105110000X12         368080811
01105105110000X21        4036080811
01105105110000X30       10458080811
01105105110000X33           0080811
01105105110000X35           0080811
01105105110000X42           0080811
01105105110000X44       14064080811
01105105110000X46           0080811
01105105110000X47           0080811
01105105110000Z01         771080811
01105105110000Z02          12080811
01105105110000Z03         182080811
01105105110000Z04          50080811
01105105110000Z05          54080811
01105105110000Z06           1080811
01105105110000Z07           0080811
01105105110000Z08      247339080811
01105105110000Z09       54807080811
01105105110000Z10       38696080811
01105105110000Z11       34044080811
01105105110000Z12           0080811
01105105110000Z13        2835080811
01105105110000Z14         658080811
01105105110000Z15         464080811
01105105110000Z16           0080811
01105105110000Z62       134680808AE
01105105110000Z63        6610080811
01105105110000Z68        23100808AE
01105105110000Z70       14064080811
01105105110000Z71        17490808AE
01105105110000Z72        1291080811
01105105110000Z73           0080811
01105105110000Z74           00808NR
01105105110000Z77       20078080811
01105105110000Z78       43570080811
01105105110000Z81       922060808AE
01105105110000Z82           0080811
01105105110000Z83           0080811
01105105110000Z84           0080811
01105105110000Z87        1025080811
01105105110000Z88         701080811
01105105110000Z89       10458080811
01105105110000Z90           0080811
01105105110000Z91           00808NR
01105105110000Z92           00808NR
01105105110000Z93         355080811
01105105110000Z95           0080811
01105105110000Z96        8092080811
01105105110000Z97           00808NR
01203700310000X04       12087080811
01203700310000V01           0080811
01203700310000V02           00808NR
01203700310000V03           00808NR
01203700310000V04           00808NR
01203700310000V05           00808NR
01203700310000V07           00808NR
01203700310000X01       10688080811
01203700310000X05           0080811
01203700310000X08      -311960808AC
01203700310000X11       55435080811
01203700310000X12        1335080811
01203700310000X21       32590080811
01203700310000X30      247754080811
01203700310000X33       81247080811
01203700310000X35           0080811
01203700310000X42           0080811
01203700310000X44           0080811
01203700310000X46           0080811
01203700310000X47           0080811
01203700310000Z01        3760080811
01203700310000Z02          40080811
01203700310000Z03        1661080811
01203700310000Z04         428080811
01203700310000Z05         483080811
01203700310000Z06          13080811
01203700310000Z07           0080811
01203700310000Z08     3473209080811
01203700310000Z09      747039080811
01203700310000Z10      399336080811
01203700310000Z11       86548080811
01203700310000Z12           0080811
01203700310000Z13       41679080811
01203700310000Z14        8964080811
01203700310000Z15        4792080811
01203700310000Z16           0080811
01203700310000Z62           0080811
01203700310000Z63      172317080811
01203700310000Z68       317310808AE
01203700310000Z70           0080811
01203700310000Z71       306710808AC
01203700310000Z72           0080811
01203700310000Z73           00808AC
01203700310000Z74           00808NR
01203700310000Z77      172317080811
01203700310000Z78      456841080811
01203700310000Z81      9095020808AE
01203700310000Z82           0080811
01203700310000Z83           0080811
01203700310000Z84           0080811
01203700310000Z87           0080811
01203700310000Z88         859080811
01203700310000Z89      166507080811
01203700310000Z90           0080811
01203700310000Z91       618670808AD
01203700310000Z92           00808NR
01203700310000Z93         242080811
01203700310000Z95           00808AE
01203700310000Z96           00808AC
01203700310000Z97           00808NR
01203700310100X04        3405080811
01203700310100V01           0080811
01203700310100V02           00808NR
01203700310100V03           00808NR
01203700310100V04           00808NR
01203700310100V05           00808NR
01203700310100V07           00808NR
01203700310100X01        3386080811
01203700310100X05           0080811
01203700310100X08         9510808AC
01203700310100X11        6399080811
01203700310100X12         222080811
01203700310100X21        2799080811
01203700310100X30       18447080811
01203700310100X33        8949080811
01203700310100X35           0080811
01203700310100X42           0080811
01203700310100X44           0080811
01203700310100X46           0080811
01203700310100X47           0080811
01203700310100Z01        1370080811
01203700310100Z02           8080811
01203700310100Z03         196080811
01203700310100Z04           0080811
01203700310100Z05          85080811
01203700310100Z06           5080811
01203700310100Z07           0080811
01203700310100Z08      365268080811
01203700310100Z09           0080811
01203700310100Z10       52057080811
01203700310100Z11       29114080811
01203700310100Z12           0080811
01203700310100Z13        5774080811
01203700310100Z14           0080811
01203700310100Z15         625080811
01203700310100Z16           0080811
01203700310100Z62           0080811
01203700310100Z63        9843080811
01203700310100Z68        14630808AE
01203700310100Z70           0080811
01203700310100Z71        1100080811
01203700310100Z72           0080811
01203700310100Z73          90080811
01203700310100Z74           00808NR
01203700310100Z77        9843080811
01203700310100Z78       10595080811
01203700310100Z81       416840808AE
01203700310100Z82           0080811
01203700310100Z83           0080811
01203700310100Z84           0080811
01203700310100Z87        1065080811
01203700310100Z88         271080811
01203700310100Z89        94980808AE
01203700310100Z90           0080811
01203700310100Z91         239080811
01203700310100Z92           00808NR
01203700310100Z93         950080811
01203700310100Z95           00808AE
01203700310100Z96           00808NR
01203700310100Z97           00808NR
01206300210000X04        3617080811
01206300210000V01           00808NR
01206300210000V02           00808NR
01206300210000V03           00808NR
01206300210000V04           00808NR
01206300210000V05           00808NR
01206300210000V07           00808NR
01206300210000X01        2656080811
01206300210000X05           00808NR
01206300210000X08        -5120808AC
01206300210000X11        9557080811
01206300210000X12         268080811
01206300210000X21       12735080811
01206300210000X30       13748080811
01206300210000X33           00808NR
01206300210000X35           00808NR
01206300210000X42           00808NR
01206300210000X44           00808NR
01206300210000X46           00808NR
01206300210000X47           00808NR
01206300210000Z01         461080811
01206300210000Z02           0080811
01206300210000Z03         214080811
01206300210000Z04          17080811
01206300210000Z05          72080811
01206300210000Z06           00808NR
01206300210000Z07           00808NR
01206300210000Z08      563174080811
01206300210000Z09       25739080811
01206300210000Z10       61107080811
01206300210000Z11           00808NR
01206300210000Z12           00808NR
01206300210000Z13        9557080811
01206300210000Z14           00808NR
01206300210000Z15           00808NR
01206300210000Z16           00808NR
01206300210000Z62           00808NR
01206300210000Z63           00808NR
01206300210000Z68       12656080811
01206300210000Z70           00808NR
01206300210000Z71        1448080811
01206300210000Z72         575080811
01206300210000Z73           00808NR
01206300210000Z74           00808NR
01206300210000Z77           00808NR
01206300210000Z78       39258080811
01206300210000Z81       65741080811
01206300210000Z82           00808NR
01206300210000Z83           00808NR
01206300210000Z84           00808NR
01206300210000Z87          75080811
01206300210000Z88           4080811
01206300210000Z89       13748080811
01206300210000Z90           00808NR
01206300210000Z91        2535080811
01206300210000Z92           00808NR
01206300210000Z93         628080811
01206300210000Z95           00808NR
01206300210000Z96           00808NR
01206300210000Z97           00808NR
02000000001605X02        85600808AD
02000000001605X06      1112370808AC
02000000001605Z99       112370808AD
02000000001605V87      1000000808AC
02000000001605Z98           0080812
02000000001605Z76         5850808AD
02000000001605Z75        80970808AC
02000000001605V01           00808NR
02000000001605V02           00808NR
02000000001605V03           00808NR
02000000001605V04           00808NR
02000000001605V05           00808NR
02000000001605V07           00808NR
02000000001605X01       455610808AC
02000000001605X05       313130808AC
02000000001605X08     -1127700808AC
02000000001605X11      3110720808AD
02000000001605X12           0080812
02000000001605X21        4303080812
02000000001605X30           0080812
02000000001605X33           0080812
02000000001605X35           0080812
02000000001605X42           0080812
02000000001605X44      547973080812
02000000001605X46      387754080812
02000000001605X47      122717080812
02000000001605Z01        8682080812
02000000001605Z02         794080812
02000000001605Z03        93710808AC
02000000001605Z04          780808AD
02000000001605Z05         5430808AD
02000000001605Z06           0080812
02000000001605Z07           0080812
02000000001605Z08    245820040808AD
02000000001605Z09      2295510808AD
02000000001605Z10      7458620808AD
02000000001605Z11           0080812
02000000001605Z12           0080812
02000000001605Z13      311072080812
02000000001605Z14           0080812
02000000001605Z15           0080812
02000000001605Z16           0080812
02000000001605Z62           0080812
02000000001605Z63      543018080812
02000000001605Z68           0080812
02000000001605Z70      547973080812
02000000001605Z71       58061080812
02000000001605Z72      126385080812
02000000001605Z73       17913080812
02000000001605Z74           00808NR
02000000001605Z77      543018080812
02000000001605Z78     1736604080812
02000000001605Z81     3342369080812
02000000001605Z82      510471080812
02000000001605Z83           0080812
02000000001605Z84           0080812
02000000001605Z87           0080812
02000000001605Z88        4303080812
02000000001605Z89           0080812
02000000001605Z90           0080812
02000000001605Z91      315129080812
02000000001605Z92           00808NR
02000000001605Z93       14011080812
02000000001605Z95           0080812
02000000001605Z96           0080812
02000000001605Z97           00808NR
02000000001608X02       747130808AC
02000000001608X06       508750808AC
02000000001608Z99       508750808AC
02000000001608V87           0080812
02000000001608Z98           0080812
02000000001608Z76       14112080812
02000000001608Z75       17249080812
02000000001608V01           00808NR
02000000001608V02           00808NR
02000000001608V03           00808NR
02000000001608V04           00808NR
02000000001608V05           00808NR
02000000001608V07           00808NR
02000000001608X01       457930808AD
02000000001608X05      1003230808AD
02000000001608X08     -2568590808AD
02000000001608X11      4391230808AC
02000000001608X12       143330808AC
02000000001608X21        32730808AC
02000000001608X30       317500808AC
02000000001608X33           0080812
02000000001608X35           0080812
02000000001608X42           0080812
02000000001608X44      9789230808AC
02000000001608X46           00808AC
02000000001608X47     11479850808AC
02000000001608Z01       31361080812
02000000001608Z02        63980808AC
02000000001608Z03       261240808AC
02000000001608Z04         6130808AD
02000000001608Z05        26580808AD
02000000001608Z06           0080812
02000000001608Z07           0080812
02000000001608Z08    338150000808AD
02000000001608Z09      7050000808AD
02000000001608Z10     20740000808AD
02000000001608Z11           0080812
02000000001608Z12           0080812
02000000001608Z13      405775080812
02000000001608Z14        8460080812
02000000001608Z15       24888080812
02000000001608Z16           0080812
02000000001608Z62           0080812
02000000001608Z63     10489450808AC
02000000001608Z68           0080812
02000000001608Z70      9789230808AC
02000000001608Z71      1301250808AD
02000000001608Z72      2810430808AD
02000000001608Z73       396350808AD
02000000001608Z74           00808NR
02000000001608Z77     10489450808AC
02000000001608Z78     35595880808AC
02000000001608Z81     67704640808AC
02000000001608Z82     11479850808AC
02000000001608Z83           0080812
02000000001608Z84           0080812
02000000001608Z87           0080812
02000000001608Z88        32730808AC
02000000001608Z89       317500808AC
02000000001608Z90           0080812
02000000001608Z91      7076620808AC
02000000001608Z92           00808NR
02000000001608Z93       296740808AD
02000000001608Z95           0080812
02000000001608Z96           0080812
02000000001608Z97           00808NR
02000000001609X02           00808AC
02000000001609X06       117370808AC
02000000001609Z99       117370808AC
02000000001609V87           0080812
02000000001609Z98           0080812
02000000001609Z76        3846080812
02000000001609Z75           0080812
02000000001609V01           00808NR
02000000001609V02           00808NR
02000000001609V03           00808NR
02000000001609V04           00808NR
02000000001609V05           00808NR
02000000001609V07           00808NR
02000000001609X01           0080812
02000000001609X05           0080812
02000000001609X08        -3150808AC
02000000001609X11        1642080812
02000000001609X12           0080812
02000000001609X21          25080812
02000000001609X30           0080812
02000000001609X33           0080812
02000000001609X35           0080812
02000000001609X42           0080812
02000000001609X44        2649080812
02000000001609X46           0080812
02000000001609X47           0080812
02000000001609Z01        3846080812
02000000001609Z02         936080812
02000000001609Z03         506080812
02000000001609Z04           0080812
02000000001609Z05           0080812
02000000001609Z06           0080812
02000000001609Z07           0080812
02000000001609Z08      1368330808AD
02000000001609Z09           0080812
02000000001609Z10           0080812
02000000001609Z11           0080812
02000000001609Z12           0080812
02000000001609Z13        1642080812
02000000001609Z14           0080812
02000000001609Z15           0080812
02000000001609Z16           0080812
02000000001609Z62           0080812
02000000001609Z63       16711080812
02000000001609Z68          25080812
02000000001609Z70        2649080812
02000000001609Z71         616080812
02000000001609Z72         156080812
02000000001609Z73          620808AD
02000000001609Z74           00808NR
02000000001609Z77       16711080812
02000000001609Z78        7877080812
02000000001609Z81       27262080812
02000000001609Z82           0080812
02000000001609Z83           0080812
02000000001609Z84           0080812
02000000001609Z87           0080812
02000000001609Z88           0080812
02000000001609Z89           0080812
02000000001609Z90           0080812
02000000001609Z91        11490808AD
02000000001609Z92           00808NR
02000000001609Z93         211080812
02000000001609Z95           0080812
02000000001609Z96           00808AC
02000000001609Z97           00808NR
02000000002000X02         5100808AC
02000000002000X06       548600808AC
02000000002000Z99       548600808AC
