01000000003401X01       300409393MA
01000000003401X02       490129393AD
01000000003401X05       505519393AD
01000000003401X06       547639393CT
01000000003401X08      304709939371
01000000003401X11      143166939371
01000000003401X12       15148939371
01000000003401X21      503578939371
01000000003401X30       57915939371
01000000003401X40     1443114939371
01000000003401X41      635178939371
01000000003401X42      7039829393AD
01000000003401X46       32282939371
01000000003401Z01       66431939371
01000000003401Z03       17765939371
01000000003401Z04         145939371
01000000003401Z05          15939371
01000000003401Z08    11840333939371
01000000003401Z09       86043939371
01000000003401Z10        4124939371
01000000003401Z68      499643939371
01000000003401Z73      262089939371
01000000003401Z76       664319393MA
01000000003401Z79     14431149393MA
01000000003401Z81     3376049939371
01000000003401Z82       32282939371
01000000003401Z88        3935939371
01000000003401Z89       57915939371
01000000003401Z93        3973939371
01000000003401Z96       42620939371
01000000003401Z99       547639393MA
01000000003402V87      1445709393MA
01000000003402X01      1080899393MC
01000000003402X02       360309393AD
01000000003402X06      2331779393CT
01000000003402X08      687172939371
01000000003402X11      302095939371
01000000003402X12       24015939371
01000000003402X21     1025473939371
01000000003402X30      115903939371
01000000003402X40     3432610939371
01000000003402X41     1386780939371
01000000003402X42     14988479393AD
01000000003402X46       33915939371
01000000003402Z01      113702939371
01000000003402Z03       30081939371
01000000003402Z04         134939371
01000000003402Z05           5939371
01000000003402Z08    25066535939371
01000000003402Z09      103769939371
01000000003402Z10        4279939371
01000000003402Z68     1021982939371
01000000003402Z73      591834939371
01000000003402Z75       852779393MA
01000000003402Z76       284259393MA
01000000003402Z79     34326109393MA
01000000003402Z81     7493528939371
01000000003402Z82       33915939371
01000000003402Z88        3491939371
01000000003402Z89      115903939371
01000000003402Z93        5719939371
01000000003402Z96       95338939371
01000000003402Z99       886079393MA
01000000003403X02        14749393MA
01000000003403X06        6200939371
01000000003403X08        8771939371
01000000003403X11        7125939371
01000000003403X12           6939371
01000000003403X21       17731939371
01000000003403X40       72731939371
01000000003403X41        8353939371
01000000003403X42        47119393AD
01000000003403Z01         307939371
01000000003403Z03         193939371
01000000003403Z08      593750939371
01000000003403Z68       17564939371
01000000003403Z73        8771939371
01000000003403Z76         3079393MA
01000000003403Z79       727319393MA
01000000003403Z81      103526939371
01000000003403Z88         167939371
01000000003403Z93         239939371
01000000003403Z99        62009393MA
01000000003701X01         3629393AD
01000000003701X05        24009393AD
01000000003701X08        1146939371
01000000003701X11        29949393AD
01000000003701X12          479393AD
01000000003701X21         495939371
01000000003701X30        3759939371
01000000003701X40        7793939371
01000000003701X41        10709393AD
01000000003701X46         1849393AD
01000000003701Z01        3101939371
01000000003701Z02         1189393AD
01000000003701Z03        13829393AD
01000000003701Z04           39393AD
01000000003701Z06           69393AD
01000000003701Z07           79393AD
01000000003701Z08      2384379393AD
01000000003701Z09        19389393AD
01000000003701Z11        40549393AD
01000000003701Z12       175009393AD
01000000003701Z68         4409393AD
01000000003701Z72          429393MC
01000000003701Z73         9049393MC
01000000003701Z75        31019393AD
01000000003701Z79        77939393MC
01000000003701Z81       133019393BC
01000000003701Z82         184939371
01000000003701Z88          559393AD
01000000003701Z89        37599393AD
01000000003701Z93         2739393AD
01000000003701Z96         1839393MC
01000000003701Z98          179393AD
01103703710000X01        4853939371
01103703710000X04        5175939371
01103703710000X08        9033939371
01103703710000X11        4648939371
01103703710000X12        1085939371
01103703710000X21       18393939371
01103703710000X30       34588939371
01103703710000X33        2377939371
01103703710000X40       550109393AD
01103703710000X41       87299939371
01103703710000Z01        3500939371
01103703710000Z03         548939371
01103703710000Z04          32939371
01103703710000Z05          40939371
01103703710000Z06          20939371
01103703710000Z08      398530939371
01103703710000Z09        90659393AD
01103703710000Z10       15342939371
01103703710000Z11       96378939371
01103703710000Z68       18384939371
01103703710000Z79       550109393AD
01103703710000Z81      195290939371
01103703710000Z88           9939371
01103703710000Z89       32211939371
01103703710000Z91        2401939371
01103703710000Z93         954939371
01103703710000Z96       11434939371
01105105110000X01         560939371
01105105110000X04        1131939371
01105105110000X05          40939371
01105105110000X11        1641939371
01105105110000X12          77939371
01105105110000X21        8890939371
01105105110000X30       10533939371
01105105110000X33         752939371
01105105110000X40         7819393AD
01105105110000Z01         603939371
01105105110000Z03         158939371
01105105110000Z05          36939371
01105105110000Z06           7939371
01105105110000Z08       966769393BC
01105105110000Z10       184849393BC
01105105110000Z11       12048939371
01105105110000Z79         7819393AD
01105105110000Z81       20203939371
01105105110000Z87        87049393AD
01105105110000Z88         186939371
01105105110000Z89        9781939371
01200800110000X01         326939371
01200800110000X04         567939371
01200800110000X11         911939371
01200800110000X12          13939371
01200800110000X21          48939371
01200800110000X30       16728939371
01200800110000Z81       16777939371
01200800110000Z88          48939371
01200800110000Z89       167289393AD
01200800110000Z93           2939371
01202800310000X01         491939371
01202800310000X04        1354939371
01202800310000X08         415939371
01202800310000X11        1941939371
01202800310000X12          17939371
01202800310000X21         835939371
01202800310000X30        1185939371
01202800310000X40         200939371
01202800310000X44        35329393AD
01202800310000Z01         216939371
01202800310000Z03          86939371
01202800310000Z04          46939371
01202800310000Z05          57939371
01202800310000Z06           19393AD
01202800310000Z08       97031939371
01202800310000Z09       42046939371
01202800310000Z10       22641939371
01202800310000Z11        13799393AD
01202800310000Z68         457939371
01202800310000Z73         386939371
01202800310000Z79         200939371
01202800310000Z81        5752939371
01202800310000Z83        35329393AD
01202800310000Z88         378939371
01202800310000Z89        1185939371
01202800310000Z93          20939371
01202800310000Z96          299393AD
01203500410000X01        1305939371
01203500410000X04        1305939371
01203500410000X08        1672939371
01203500410000X11        2116939371
01203500410000X12         265939371
