01000000003401X01       648710505AD
01000000003401X02      1058420505AC
01000000003401Z99       887700505AD
01000000003401V87           0050512
01000000003401X06       887700505AC
01000000003401X05       819430505AD
01000000003401Z98           0050512
01000000003401Z72       71281050512
01000000003401Z73        4892050512
01000000003401X08      7317490505AC
01000000003401Z97           00505NR
01000000003401Z96      457981050512
01000000003401Z95           0050512
01000000003401X11      4586580505AC
01000000003401X12       35204050512
01000000003401Z93       12152050512
01000000003401Z92           00505NR
01000000003401Z91           00505NR
01000000003401Z90           0050512
01000000003401Z88        4710050512
01000000003401Z87           0050512
01000000003401Z68      401353050512
01000000003401X21      406063050512
01000000003401Z89           0050512
01000000003401X33       33876050512
01000000003401X30       33876050512
01000000003401X42           0050512
01000000003401Z84           0050512
01000000003401X35           0050512
01000000003401Z83           0050512
01000000003401X44      832907050512
01000000003401X46      512355050512
01000000003401X47           0050512
01000000003401Z82      512355050512
01000000003401Z81     7705034050512
01000000003401Z78     3636637050512
01000000003401Z77     2283196050512
01000000003401Z76       325840505AD
01000000003401Z75       454240505AD
01000000003401Z01       78008050512
01000000003401Z02       12291050512
01000000003401Z03       23991050512
01000000003401Z04        2953050512
01000000003401Z05        3065050512
01000000003401Z06         396050512
01000000003401Z07           6050512
01000000003401Z08    33530000050512
01000000003401Z09     2599000050512
01000000003401Z10     1924000050512
01000000003401Z11     1501000050512
01000000003401Z12      287000050512
01000000003401Z74           00505NR
01000000003401V01           00505NR
01000000003401V02           00505NR
01000000003401V03           00505NR
01000000003401V04           00505NR
01000000003401V05           00505NR
01000000003401V07           00505NR
01000000003401Z71      197595050512
01000000003401Z62      434536050512
01000000003401Z63     1848660050512
01000000003401Z70      832907050512
01000000003401Z13      396948050512
01000000003401Z14       39902050512
01000000003401Z15       21808050512
01000000003401Z16           0050512
01000000003402X01      1887860505AC
01000000003402X02       629280505AD
01000000003402Z99      1187410505AD
01000000003402V87      1937330505AD
01000000003402X06      3124740505AD
01000000003402X05           00505AC
01000000003402Z98           0050512
01000000003402Z72      152280050512
01000000003402Z73       10704050512
01000000003402X08     16462290505AC
01000000003402Z97           00505NR
01000000003402Z96     1055525050512
01000000003402Z95           0050512
01000000003402X11      9877160505AC
01000000003402X12       35983050512
01000000003402Z93       19715050512
01000000003402Z92           00505NR
01000000003402Z91           00505NR
01000000003402Z90           0050512
01000000003402Z88       15109050512
01000000003402Z87           0050512
01000000003402Z68      923947050512
01000000003402X21      939056050512
01000000003402Z89           0050512
01000000003402X33       87288050512
01000000003402X30       87288050512
01000000003402X42           0050512
01000000003402Z84           0050512
01000000003402X35           0050512
01000000003402Z83           0050512
01000000003402X44     1936147050512
01000000003402X46     1060523050512
01000000003402X47           0050512
01000000003402Z82     1060523050512
01000000003402Z81    16660072050512
01000000003402Z78     7743769050512
01000000003402Z77     4893289050512
01000000003402Z76       478890505AD
01000000003402Z75       781320505AD
01000000003402Z01      126021050512
01000000003402Z02       21402050512
01000000003402Z03       50253050512
01000000003402Z04        3594050512
01000000003402Z05        2875050512
01000000003402Z06         699050512
01000000003402Z07          10050512
01000000003402Z08    78944000050512
01000000003402Z09     2987000050512
01000000003402Z10     2506000050512
01000000003402Z11     2870000050512
01000000003402Z12      236000050512
01000000003402Z74           00505NR
01000000003402V01           00505NR
01000000003402V02           00505NR
01000000003402V03           00505NR
01000000003402V04           00505NR
01000000003402V05           00505NR
01000000003402V07           00505NR
01000000003402Z71      427720050512
01000000003402Z62      909007050512
01000000003402Z63     3984282050512
01000000003402Z70     1936147050512
01000000003402Z13      925933050512
01000000003402Z14       33326050512
01000000003402Z15       28457050512
01000000003402Z16           0050512
01000000003403X01           0050512
01000000003403X02        2370050512
01000000003403Z99        89940505AD
01000000003403V87           0050512
01000000003403X06        8994050512
01000000003403X05           0050512
01000000003403Z98           0050512
01000000003403Z72        1904050512
01000000003403Z73         109050512
01000000003403X08       220630505AC
01000000003403Z97           00505NR
01000000003403Z96       14736050512
01000000003403Z95           0050512
01000000003403X11       17903050512
01000000003403X12         103050512
01000000003403Z93         443050512
01000000003403Z92           00505NR
01000000003403Z91           00505NR
01000000003403Z90           0050512
01000000003403Z88         695050512
01000000003403Z87           0050512
01000000003403Z68       17669050512
01000000003403X21       18364050512
01000000003403Z89           0050512
01000000003403X33         180050512
01000000003403X30         180050512
01000000003403X42           0050512
01000000003403Z84           0050512
01000000003403X35           0050512
01000000003403Z83           0050512
01000000003403X44           0050512
01000000003403X46        2429050512
01000000003403X47           0050512
01000000003403Z82        2429050512
01000000003403Z81      220027050512
01000000003403Z78      126199050512
01000000003403Z77       72855050512
01000000003403Z76         3660505AD
01000000003403Z75           0050512
01000000003403Z01         366050512
01000000003403Z02          34050512
01000000003403Z03         170050512
01000000003403Z04           8050512
01000000003403Z05          94050512
01000000003403Z06           0050512
01000000003403Z07           0050512
01000000003403Z08     1215000050512
01000000003403Z09       26000050512
01000000003403Z10      247000050512
01000000003403Z11           0050512
01000000003403Z12           0050512
01000000003403Z74           00505NR
01000000003403V01           00505NR
01000000003403V02           00505NR
01000000003403V03           00505NR
01000000003403V04           00505NR
01000000003403V05           00505NR
01000000003403V07           00505NR
01000000003403Z71        5314050512
01000000003403Z62       26676050512
01000000003403Z63       46179050512
01000000003403Z70           0050512
01000000003403Z13       14667050512
01000000003403Z14         313050512
01000000003403Z15        2923050512
01000000003403Z16           0050512
01000000003701X01         7620505AD
01000000003701X02           00505NR
01000000003701Z99           00505NR
01000000003701V87           00505NR
01000000003701X06           00505NR
01000000003701X05        25000505AD
01000000003701Z98           00505NR
01000000003701Z72          500505AD
01000000003701Z73           00505NR
01000000003701X08         7400505AD
01000000003701Z97           00505NR
01000000003701Z96          670505AD
01000000003701Z95           00505NR
01000000003701X11        3883050512
01000000003701X12          930505AD
01000000003701Z93         3460505AD
01000000003701Z92           00505NR
01000000003701Z91           00505NR
01000000003701Z90           00505NR
01000000003701Z88           00505NR
01000000003701Z87           00505NR
01000000003701Z68         3290505AC
01000000003701X21         3290505AC
01000000003701Z89        26490505AC
01000000003701X33        16670505AC
01000000003701X30        43160505AC
01000000003701X42           00505NR
01000000003701Z84           00505NR
01000000003701X35           00505NR
01000000003701Z83        60010505AC
01000000003701X44        60010505AC
01000000003701X46         1900505AC
