01000000003701V01           00404NR
01000000003701V02           00404NR
01000000003701V03           00404NR
01000000003701V04           00404NR
01000000003701V05           00404NR
01000000003701V07           00404NR
01000000003701Z71         691040412
01000000003701Z62        3100040412
01000000003701Z63        4749040412
01000000003701Z70           0040412
01105105110000X01        1464040411
01105105110000X04        3581040411
01105105110000X05         830040411
01105105110000Z72         217040411
01105105110000Z73        1189040411
01105105110000X08        35290404AC
01105105110000Z97           00404NR
01105105110000Z96          50040411
01105105110000Z95           00404NR
01105105110000X11        3100040411
01105105110000X12         174040411
01105105110000Z93         176040411
01105105110000Z92           00404NR
01105105110000Z91           00404NR
01105105110000Z90           00404NR
01105105110000Z88        6069040411
01105105110000Z87           00404NR
01105105110000Z68        1869040411
01105105110000X21        7938040411
01105105110000Z89       37534040411
01105105110000X33           00404NR
01105105110000X30       37534040411
01105105110000X42           00404NR
01105105110000Z84           00404NR
01105105110000X35           00404NR
01105105110000Z83           00404NR
01105105110000X44         145040411
01105105110000X46           00404NR
01105105110000X47           00404NR
01105105110000Z82           00404NR
01105105110000Z81       60904040411
01105105110000Z78       13312040411
01105105110000Z77        1975040411
01105105110000Z01         773040411
01105105110000Z02           00404NR
01105105110000Z03         162040411
01105105110000Z04          35040411
01105105110000Z05          53040411
01105105110000Z06           4040411
01105105110000Z07           00404NR
01105105110000Z08      183790040411
01105105110000Z09       29403040411
01105105110000Z10       28831040411
01105105110000Z11       11977040411
01105105110000Z12           00404NR
01105105110000Z74         773040411
01105105110000V01           00404NR
01105105110000V02           00404NR
01105105110000V03           00404NR
01105105110000V04           00404NR
01105105110000V05           00404NR
01105105110000V07           00404NR
01105105110000Z71        2073040411
01105105110000Z62        1975040411
01105105110000Z63           00404NR
01105105110000Z70         145040411
01200800110000X01         667040411
01200800110000X04         667040411
01200800110000X05         321040411
01200800110000Z72         152040411
01200800110000Z73           00404NR
01200800110000X08         795040411
01200800110000Z97           00404NR
01200800110000Z96           00404NR
01200800110000Z95           00404NR
01200800110000X11        2776040411
01200800110000X12           00404NR
01200800110000Z93         180040411
01200800110000Z92           00404NR
01200800110000Z91           00404NR
01200800110000Z90           00404NR
01200800110000Z88         418040411
01200800110000Z87           00404NR
01200800110000Z68           00404NR
01200800110000X21         418040411
01200800110000Z89           00404NR
01200800110000X33        4700040411
01200800110000X30        4700040411
01200800110000X42           00404NR
01200800110000Z84           00404NR
01200800110000X35           00404NR
01200800110000Z83           00404NR
01200800110000X44        2177040411
01200800110000X46           00404NR
01200800110000X47           00404NR
01200800110000Z82           00404NR
01200800110000Z81       235330404AE
01200800110000Z78       11587040411
01200800110000Z77        4651040411
01200800110000Z01         175040411
01200800110000Z02           00404NR
01200800110000Z03          91040411
01200800110000Z04          29040411
01200800110000Z05          31040411
01200800110000Z06           00404NR
01200800110000Z07           00404NR
01200800110000Z08      141965040411
01200800110000Z09       51667040411
01200800110000Z10       22780040411
01200800110000Z11           00404NR
01200800110000Z12           00404NR
01200800110000Z74           0040411
01200800110000V01           00404NR
01200800110000V02           00404NR
01200800110000V03           00404NR
01200800110000V04           00404NR
01200800110000V05           00404NR
01200800110000V07           00404NR
01200800110000Z71         643040411
01200800110000Z62        4651040411
01200800110000Z63           00404NR
01200800110000Z70        2177040411
01203500410000X01        2644040411
01203500410000X04        2644040411
01203500410000X05           0040411
01203500410000Z72           0040411
01203500410000Z73           0040411
01203500410000X08        38620404AC
01203500410000Z97           0040411
01203500410000Z96        2201040411
01203500410000Z95           0040411
01203500410000X11        5842040411
01203500410000X12         426040411
01203500410000Z93         246040411
01203500410000Z92           0040411
01203500410000Z91           0040411
01203500410000Z90           0040411
01203500410000Z88         799040411
01203500410000Z87       467970404AE
01203500410000Z68           0040411
01203500410000X21       47596040411
01203500410000Z89           0040411
01203500410000X33           0040411
01203500410000X30           0040411
01203500410000X42           0040411
01203500410000Z84           0040411
01203500410000X35           0040411
01203500410000Z83           0040411
01203500410000X44           0040411
01203500410000X46           0040411
01203500410000X47           0040411
01203500410000Z82           0040411
01203500410000Z81       47596040411
01203500410000Z78           0040411
01203500410000Z77           0040411
01203500410000Z01         977040411
01203500410000Z02           0040411
01203500410000Z03         286040411
01203500410000Z04          29040411
01203500410000Z05          11040411
01203500410000Z06           5040411
01203500410000Z07           0040411
01203500410000Z08      460932040411
01203500410000Z09       24040040411
01203500410000Z10        7130040411
01203500410000Z11       24663040411
01203500410000Z12           0040411
01203500410000Z74           00404NR
01203500410000V01           00404NR
01203500410000V02           00404NR
01203500410000V03           00404NR
01203500410000V04           00404NR
01203500410000V05           00404NR
01203500410000V07           00404NR
01203500410000Z71        1661040411
01203500410000Z62           0040411
01203500410000Z63           0040411
01203500410000Z70           0040411
01203700310000X01       136890404AC
01203700310000X04       147480404AC
01203700310000X05           0040411
01203700310000Z72           0040411
01203700310000Z73       725910404AC
01203700310000X08       725910404AC
01203700310000Z97           0040411
01203700310000Z96           0040411
01203700310000Z95           0040411
01203700310000X11       475070404AC
01203700310000X12        14120404AC
01203700310000Z93        31000404AC
01203700310000Z92           0040411
01203700310000Z91           0040411
01203700310000Z90           0040411
01203700310000Z88       545020404AC
01203700310000Z87           0040411
01203700310000Z68           0040411
01203700310000X21       545020404AC
01203700310000Z89      2764070404AC
01203700310000X33           0040411
01203700310000X30      2764070404AC
01203700310000X42           0040411
01203700310000Z84           0040411
01203700310000X35           0040411
01203700310000Z83           00404AC
01203700310000X44           00404AC
01203700310000X46           0040411
01203700310000X47           0040411
01203700310000Z82           0040411
01203700310000Z81      8951500404AC
01203700310000Z78      4014920404AC
01203700310000Z77      1627490404AC
01203700310000Z01        3878040411
01203700310000Z02         212040411
01203700310000Z03        1614040411
01203700310000Z04           0040411
01203700310000Z05         403040411
01203700310000Z06           0040411
01203700310000Z07           0040411
01203700310000Z08     31679180404AD
01203700310000Z09           0040411
01203700310000Z10      7909980404AD
01203700310000Z11           0040411
01203700310000Z12           0040411
01203700310000Z74           00404NR
01203700310000V01           00404NR
01203700310000V02           00404NR
01203700310000V03           00404NR
01203700310000V04           00404NR
01203700310000V05           00404NR
01203700310000V07           00404NR
01203700310000Z71           00404AC
01203700310000Z62           0040411
01203700310000Z63      1627490404AD
01203700310000Z70           0040411
01203700310100X01        3210040411
01203700310100X04        3260040411
01203700310100X05           00404NR
01203700310100Z72           00404NR
01203700310100Z73        1483040411
01203700310100X08        1483040411
01203700310100Z97           00404NR
01203700310100Z96           00404NR
01203700310100Z95           00404NR
01203700310100X11        3746040411
01203700310100X12         295040411
01203700310100Z93        4673040411
01203700310100Z92           00404NR
01203700310100Z91           00404NR
01203700310100Z90           00404NR
01203700310100Z88        1985040411
01203700310100Z87           00404NR
01203700310100Z68           00404NR
01203700310100X21        1985040411
01203700310100Z89       24207040411
01203700310100X33           00404NR
01203700310100X30       24207040411
01203700310100X42           00404NR
01203700310100Z84           00404NR
01203700310100X35           00404NR
01203700310100Z83           00404NR
01203700310100X44           00404NR
01203700310100X46           00404NR
01203700310100X47           00404NR
01203700310100Z82           00404NR
01203700310100Z81       322070404AE
01203700310100Z78           00404NR
01203700310100Z77        6015040411
01203700310100Z01        1190040411
01203700310100Z02           0040411
01203700310100Z03         150040411
01203700310100Z04           1040411
01203700310100Z05          85040411
01203700310100Z06           2040411
01203700310100Z07           0040411
01203700310100Z08      263582040411
01203700310100Z09        1085040411
01203700310100Z10       38817040411
01203700310100Z11       12619040411
01203700310100Z12           0040411
01203700310100Z74         350040411
01203700310100V01           00404NR
01203700310100V02           00404NR
01203700310100V03           00404NR
01203700310100V04           00404NR
01203700310100V05           00404NR
01203700310100V07           00404NR
01203700310100Z71           00404NR
01203700310100Z62           00404NR
01203700310100Z63        6015040411
01203700310100Z70           00404NR
01206300210000X01        1845040411
01206300210000X04        2180040411
01206300210000X05           00404NR
01206300210000Z72         401040411
01206300210000Z73           00404NR
01206300210000X08        -3100404AC
01206300210000Z97           00404NR
01206300210000Z96           00404NR
01206300210000Z95           00404NR
01206300210000X11        6324040411
01206300210000X12         217040411
01206300210000Z93         457040411
01206300210000Z92           00404NR
01206300210000Z91        1483040411
01206300210000Z90           00404NR
01206300210000Z88           2040411
01206300210000Z87         274040411
01206300210000Z68        4351040411
01206300210000X21        4627040411
01206300210000Z89       17539040411
01206300210000X33           00404NR
01206300210000X30       17539040411
01206300210000X42           00404NR
01206300210000Z84           00404NR
01206300210000X35           00404NR
01206300210000Z83           00404NR
01206300210000X44           00404NR
01206300210000X46           00404NR
01206300210000X47           00404NR
01206300210000Z82           00404NR
01206300210000Z81       585740404AE
01206300210000Z78       36408040411
01206300210000Z77           00404NR
01206300210000Z01         400040411
01206300210000Z02           00404NR
01206300210000Z03         195040411
01206300210000Z04          15040411
01206300210000Z05          54040411
01206300210000Z06           00404NR
01206300210000Z07           00404NR
01206300210000Z08      438262040411
01206300210000Z09       19058040411
01206300210000Z10       45532040411
01206300210000Z11           00404NR
01206300210000Z12           00404NR
01206300210000Z74           0040411
01206300210000V01           00404NR
01206300210000V02           00404NR
01206300210000V03           00404NR
01206300210000V04           00404NR
01206300210000V05           00404NR
01206300210000V07           00404NR
01206300210000Z71         772040411
01206300210000Z62           00404NR
01206300210000Z63           00404NR
01206300210000Z70           00404NR
02000000001605X01       53348040412
02000000001605X02        4017040412
02000000001605Z99        5489040412
02000000001605V87           0040412
02000000001605X06        5489040412
02000000001605X05       63204040412
02000000001605Z98           0040412
02000000001605Z72       59549040412
02000000001605Z73           0040412
02000000001605X08      5233100404AC
02000000001605Z97           0040412
02000000001605Z96      407002040412
02000000001605Z95           0040412
02000000001605X11      331010040412
02000000001605X12        4189040412
02000000001605Z93       11550040412
02000000001605Z92           0040412
02000000001605Z91           1040412
02000000001605Z90           0040412
02000000001605Z88         523040412
02000000001605Z87           0040412
02000000001605Z68       70992040412
02000000001605X21       71515040412
02000000001605Z89      240848040412
02000000001605X33      499518040412
02000000001605X30      740366040412
02000000001605X42           0040412
02000000001605Z84           0040412
02000000001605X35           0040412
02000000001605Z83      171814040412
02000000001605X44      225221040412
02000000001605X46           0040412
02000000001605X47      428423040412
02000000001605Z82      428423040412
02000000001605Z81     3908890040412
02000000001605Z78     2192261040412
02000000001605Z77      251104040412
02000000001605Z76         648040412
02000000001605Z75        9225040412
02000000001605Z01        9873040412
02000000001605Z02        3035040412
02000000001605Z03        7903040412
02000000001605Z04          79040412
02000000001605Z05         545040412
02000000001605Z06          40040412
02000000001605Z07           3040412
02000000001605Z08    20377624040412
02000000001605Z09      194507040412
02000000001605Z10      659579040412
02000000001605Z11      331205040412
02000000001605Z12       24182040412
02000000001605Z74        9210040412
02000000001605V01           00404NR
02000000001605V02           00404NR
02000000001605V03           00404NR
02000000001605V04           00404NR
02000000001605V05           00404NR
02000000001605V07           00404NR
02000000001605Z71       56760040412
02000000001605Z62           0040412
02000000001605Z63      251104040412
02000000001605Z70       53407040412
02000000001608X01       44802040412
02000000001608X02       73752040412
02000000001608Z99       64097040412
02000000001608V87           0040412
02000000001608X06       64097040412
02000000001608X05       41488040412
02000000001608Z98           0040412
02000000001608Z72      124007040412
02000000001608Z73           0040412
02000000001608X08     10837080404AC
02000000001608Z97           0040412
02000000001608Z96      841663040412
02000000001608Z95           0040412
02000000001608X11      496750040412
02000000001608X12       14723040412
02000000001608Z93       24399040412
02000000001608Z92           0040412
02000000001608Z91           0040412
02000000001608Z90           0040412
02000000001608Z88         511040412
02000000001608Z87           0040412
02000000001608Z68      148016040412
02000000001608X21      148527040412
02000000001608Z89      499218040412
02000000001608X33     1034774040412
02000000001608X30     1533992040412
02000000001608X42           0040412
02000000001608Z84           0040412
02000000001608X35           0040412
02000000001608Z83      358896040412
02000000001608X44      458073040412
02000000001608X46           0040412
02000000001608X47      905905040412
02000000001608Z82      905905040412
02000000001608Z81     8175491040412
02000000001608Z78     4608817040412
02000000001608Z77      520177040412
02000000001608Z76       15568040412
02000000001608Z75       18497040412
02000000001608Z01       34065040412
02000000001608Z02       16639040412
02000000001608Z03       17350040412
02000000001608Z04         452040412
02000000001608Z05        1757040412
02000000001608Z06         277040412
02000000001608Z07          15040412
02000000001608Z08    25719592040412
02000000001608Z09      683525040412
02000000001608Z10     1571504040412
02000000001608Z11     1596681040412
02000000001608Z12      225145040412
02000000001608Z74       17808040412
02000000001608V01           00404NR
02000000001608V02           00404NR
02000000001608V03           00404NR
02000000001608V04           00404NR
02000000001608V05           00404NR
02000000001608V07           00404NR
02000000001608Z71      118038040412
02000000001608Z62           0040412
02000000001608Z63      520177040412
02000000001608Z70       99177040412
02000000001609X01           0040412
02000000001609X02           0040412
02000000001609Z99        1322040412
02000000001609V87           0040412
02000000001609X06        1322040412
02000000001609X05           0040412
02000000001609Z98           0040412
02000000001609Z72          99040412
02000000001609Z73           0040412
02000000001609X08        12480404AC
02000000001609Z97           0040412
02000000001609Z96         765040412
02000000001609Z95           0040412
02000000001609X11        1609040412
02000000001609X12           0040412
02000000001609Z93         144040412
02000000001609Z92           0040412
02000000001609Z91           0040412
02000000001609Z90           0040412
02000000001609Z88          26040412
02000000001609Z87           0040412
02000000001609Z68         357040412
02000000001609X21         383040412
02000000001609Z89        1619040412
02000000001609X33        3506040412
02000000001609X30        5125040412
02000000001609X42           0040412
02000000001609Z84           0040412
02000000001609X35           0040412
02000000001609Z83         235040412
02000000001609X44         235040412
02000000001609X46           0040412
02000000001609X47           0040412
02000000001609Z82           0040412
02000000001609Z81       13473040412
02000000001609Z78        5968040412
02000000001609Z77        1762040412
02000000001609Z76        3538040412
02000000001609Z75           0040412
02000000001609Z01        3538040412
02000000001609Z02         680040412
02000000001609Z03         473040412
02000000001609Z04           0040412
02000000001609Z05           0040412
02000000001609Z06           4040412
02000000001609Z07           0040412
02000000001609Z08       45099040412
02000000001609Z09           0040412
02000000001609Z10           0040412
02000000001609Z11       35987040412
02000000001609Z12           0040412
02000000001609Z74           0040412
02000000001609V01           00404NR
02000000001609V02           00404NR
02000000001609V03           00404NR
02000000001609V04           00404NR
02000000001609V05           00404NR
02000000001609V07           00404NR
02000000001609Z71         384040412
02000000001609Z62           0040412
02000000001609Z63        1762040412
02000000001609Z70           0040412
02000000002000X01           0040412
02000000002000X02         346040412
02000000002000Z99        1787040412
02000000002000V87           0040412
02000000002000X06        1787040412
02000000002000X05           0040412
02000000002000Z98           0040412
02000000002000Z72        1106040412
02000000002000Z73           10404AD
02000000002000X08        93890404AC
02000000002000Z97           0040412
02000000002000Z96        7386040412
02000000002000Z95           0040412
02000000002000X11        4441040412
02000000002000X12           0040412
02000000002000Z93         216040412
02000000002000Z92           0040412
02000000002000Z91           0040412
02000000002000Z90           0040412
02000000002000Z88          50040412
02000000002000Z87           0040412
02000000002000Z68        1249040412
02000000002000X21        1299040412
02000000002000Z89        46260404AE
02000000002000X33        7961040412
02000000002000X30       12587040412
02000000002000X42           0040412
02000000002000Z84           0040412
02000000002000X35           0040412
02000000002000Z83         578040412
02000000002000X44         578040412
02000000002000X46           0040412
02000000002000X47        6123040412
02000000002000Z82        6123040412
02000000002000Z81       704280404AE
02000000002000Z78       45841040412
02000000002000Z77        4000040412
02000000002000Z76          56040412
02000000002000Z75           0040412
02000000002000Z01          56040412
02000000002000Z02          11040412
02000000002000Z03          60040412
02000000002000Z04           1040412
02000000002000Z05          13040412
02000000002000Z06           0040412
02000000002000Z07           0040412
02000000002000Z08      270426040412
02000000002000Z09        6814040412
02000000002000Z10       37159040412
02000000002000Z11           0040412
02000000002000Z12           0040412
02000000002000Z74           0040412
02000000002000V01           00404NR
02000000002000V02           00404NR
02000000002000V03           00404NR
02000000002000V04           00404NR
02000000002000V05           00404NR
02000000002000V07           00404NR
02000000002000Z71         896040412
02000000002000Z62           0040412
02000000002000Z63        4000040412
02000000002000Z70           0040412
02200200110000X01           00404NR
02200200110000X04           00404NR
02200200110000X05           00404NR
02200200110000Z72        1104040411
02200200110000Z73        1047040411
02200200110000X08       718250404AC
02200200110000Z97           00404NR
02200200110000Z96       63995040411
02200200110000Z95           00404NR
02200200110000X11       21030040411
02200200110000X12           00404NR
02200200110000Z93        2115040411
02200200110000Z92           00404NR
02200200110000Z91           00404NR
02200200110000Z90           00404NR
02200200110000Z88        4770040411
02200200110000Z87           00404NR
02200200110000Z68           00404NR
02200200110000X21        4770040411
02200200110000Z89       10255040411
02200200110000X33        3169040411
02200200110000X30       13424040411
02200200110000X42          99040411
02200200110000Z84           00404NR
02200200110000X35           00404NR
02200200110000Z83       18302040411
02200200110000X44       81986040411
02200200110000X46           00404NR
02200200110000X47       33947040411
02200200110000Z82       33947040411
02200200110000Z81      3713500404AE
02200200110000Z78      150422040411
02200200110000Z77       86702040411
02200200110000Z01         202040411
02200200110000Z02          16040411
02200200110000Z03         377040411
02200200110000Z04         128040411
02200200110000Z05          50040411
02200200110000Z06           00404NR
02200200110000Z07           00404NR
02200200110000Z08     1302573040411
02200200110000Z09      369250040411
02200200110000Z10      116533040411
02200200110000Z11           00404NR
02200200110000Z12           00404NR
02200200110000Z74           0040411
02200200110000V01           00404NR
02200200110000V02           00404NR
02200200110000V03           00404NR
02200200110000V04           00404NR
02200200110000V05           00404NR
02200200110000V07           00404NR
02200200110000Z71        5679040411
02200200110000Z62       45566040411
02200200110000Z63       41136040411
02200200110000Z70       63684040411
03000000007801X01       68956040412
03000000007801X02        2918040412
03000000007801Z99        5881040412
03000000007801V87           0040412
03000000007801X06        5881040412
03000000007801X05       73119040412
03000000007801Z98           0040412
03000000007801Z72       28884040412
03000000007801Z73        1496040412
03000000007801X08      1446580404AC
03000000007801Z97           0040412
03000000007801Z96       43937040412
03000000007801Z95           0040412
03000000007801X11      229885040412
03000000007801X12        6391040412
03000000007801Z93        1651040412
03000000007801Z92           0040412
03000000007801Z91        5378040412
03000000007801Z90           0040412
03000000007801Z88           0040412
03000000007801Z87           0040412
03000000007801Z68      173546040412
03000000007801X21      173546040412
03000000007801Z89       93923040412
03000000007801X33       86659040412
03000000007801X30      180582040412
03000000007801X42           0040412
03000000007801Z84        1523040412
03000000007801X35           0040412
03000000007801Z83           0040412
03000000007801X44        1523040412
03000000007801X46        4629040412
03000000007801X47      234767040412
03000000007801Z82      239396040412
03000000007801Z81     4274297040412
03000000007801Z78     3091719040412
03000000007801Z77      587531040412
03000000007801Z76        1229040412
03000000007801Z75       14623040412
03000000007801Z01       15852040412
03000000007801Z02         512040412
03000000007801Z03        4563040412
03000000007801Z04         942040412
03000000007801Z05         891040412
03000000007801Z06          40040412
03000000007801Z07           2040412
03000000007801Z08    15302517040412
03000000007801Z09     2396889040412
03000000007801Z10     1979082040412
03000000007801Z11      473440040412
03000000007801Z12       18461040412
03000000007801Z74        7000040412
03000000007801V01           00404NR
03000000007801V02           00404NR
03000000007801V03           00404NR
03000000007801V04           00404NR
03000000007801V05           00404NR
03000000007801V07           00404NR
03000000007801Z71       75719040412
03000000007801Z62           0040412
03000000007801Z63      587531040412
03000000007801Z70           0040412
03000000009001X01      294466040412
03000000009001X02       82970040412
03000000009001Z99       65457040412
03000000009001V87           00404AC
03000000009001X06       654570404AC
03000000009001X05      2323130404AD
03000000009001Z98           0040412
03000000009001Z72      184034040412
03000000009001Z73       38081040412
03000000009001X08     31468570404AC
03000000009001Z97           0040412
03000000009001Z96     2693993040412
03000000009001Z95           0040412
03000000009001X11     1253825040412
03000000009001X12       36212040412
03000000009001Z93       73544040412
03000000009001Z92           0040412
03000000009001Z91           0040412
03000000009001Z90           0040412
03000000009001Z88       14144040412
03000000009001Z87           0040412
03000000009001Z68     1917927040412
03000000009001X21     1932071040412
03000000009001Z89     2987889040412
03000000009001X33           0040412
03000000009001X30     2987889040412
03000000009001X42       25760040412
03000000009001Z84           0040412
03000000009001X35           0040412
03000000009001Z83     2203225040412
03000000009001X44     2203225040412
03000000009001X46           0040412
03000000009001X47           0040412
03000000009001Z82           0040412
03000000009001Z81    23305796040412
03000000009001Z78    14035659040412
03000000009001Z77     2121192040412
03000000009001Z76       44492040412
03000000009001Z75      157906040412
03000000009001Z01      2023980404AC
03000000009001Z02      136618040412
03000000009001Z03       70878040412
03000000009001Z04        4685040412
03000000009001Z05         7440404AD
03000000009001Z06           0040412
03000000009001Z07           0040412
03000000009001Z08    964328540404AC
03000000009001Z09     68143130404AD
03000000009001Z10     12382500404AC
03000000009001Z11           0040412
03000000009001Z12           0040412
03000000009001Z74           00404NR
03000000009001V01           00404NR
03000000009001V02           00404NR
03000000009001V03           00404NR
03000000009001V04           00404NR
03000000009001V05           00404NR
03000000009001V07           00404NR
03000000009001Z71      230749040412
03000000009001Z62           0040412
03000000009001Z63     21211920404AD
03000000009001Z70           0040412
03000000090001X01        2897040412
03000000090001X02        1093040412
03000000090001Z99         948040412
03000000090001V87           0040412
03000000090001X06         948040412
03000000090001X05        2415040412
03000000090001Z98           0040412
03000000090001Z72        2016040412
03000000090001Z73         110040412
03000000090001X08       115090404AC
03000000090001Z97           0040412
03000000090001Z96        4661040412
03000000090001Z95           00404AE
03000000090001X11       23754040412
03000000090001X12         117040412
03000000090001Z93         125040412
03000000090001Z92           0040412
03000000090001Z91         569040412
03000000090001Z90           0040412
03000000090001Z88           0040412
03000000090001Z87           0040412
03000000090001Z68       10444040412
03000000090001X21       10444040412
03000000090001Z89        6747040412
03000000090001X33        7626040412
03000000090001X30       14373040412
03000000090001X42           0040412
03000000090001Z84         104040412
03000000090001X35           0040412
03000000090001Z83           0040412
03000000090001X44         104040412
03000000090001X46           0040412
03000000090001X47       15969040412
