01000000003401X01       389569696MA
01000000003401X02       635599696AD
01000000003401X05       668149696AD
01000000003401X06       723829696CT
01000000003401X08      470511969671
01000000003401X11      220265969671
01000000003401X12       22866969671
01000000003401X21      598440969671
01000000003401X30      103072969671
01000000003401X33       28912969671
01000000003401X40     1696382969671
01000000003401X41     1680462969671
01000000003401X42      4573559696AD
01000000003401X46      333935969671
01000000003401Z01       72600969671
01000000003401Z03       24211969671
01000000003401Z04          97969671
01000000003401Z05          24969671
01000000003401Z08    17504781969671
01000000003401Z09       70131969671
01000000003401Z10       17352969671
01000000003401Z68      594201969671
01000000003401Z73      283100969671
01000000003401Z75       372749696MA
01000000003401Z76       353269696MA
01000000003401Z79     16963829696MA
01000000003401Z81     4869646969671
01000000003401Z82      333935969671
01000000003401Z88        4239969671
01000000003401Z89       74160969671
01000000003401Z93        4039969671
01000000003401Z96      187411969671
01000000003401Z99       723829696MA
01000000003402V87      1928729696MA
01000000003402X01      1383659696MC
01000000003402X02       461229696AD
01000000003402X06      3110849696CT
01000000003402X08     1024354969671
01000000003402X11      466479969671
01000000003402X12       29345969671
01000000003402X21     1292142969671
01000000003402X30      222815969671
01000000003402X33       76466969671
01000000003402X40     3629901969671
01000000003402X41     3551606969671
01000000003402X42     12380519696AD
01000000003402X46      643011969671
01000000003402Z01      120334969671
01000000003402Z03       45409969671
01000000003402Z04         183969671
01000000003402Z05          45969671
01000000003402Z08    37689972969671
01000000003402Z09      153192969671
01000000003402Z10       41630969671
01000000003402Z68     1284375969671
01000000003402Z73      624388969671
01000000003402Z75       902509696MA
01000000003402Z76       300849696MA
01000000003402Z79     36299019696MA
01000000003402Z81    10577526969671
01000000003402Z82      643011969671
01000000003402Z88        7767969671
01000000003402Z89      146349969671
01000000003402Z93        6094969671
01000000003402Z96      399966969671
01000000003402Z99      1182129696MA
01000000003403X02        14509696MA
01000000003403X06        6193969671
01000000003403X08       12758969671
01000000003403X11        9364969671
01000000003403X12          40969671
01000000003403X21       10302969671
01000000003403X30        3178969671
01000000003403X33        3178969671
01000000003403X40       85336969671
01000000003403X41       40495969671
01000000003403X42        12679696AD
01000000003403X46         892969671
01000000003403Z01         326969671
01000000003403Z03         255969671
01000000003403Z08      802920969671
01000000003403Z68        9909969671
01000000003403Z73       12758969671
01000000003403Z76         3269696MA
01000000003403Z79       853369696MA
01000000003403Z81      141470969671
01000000003403Z82         892969671
01000000003403Z88         393969671
01000000003403Z93         299969671
01000000003403Z99        61939696MA
01000000003701X01         3769696AD
01000000003701X05        26409696AD
01000000003701X08        1141969671
01000000003701X11        31719696AD
01000000003701X12          469696AD
01000000003701X21         889969671
01000000003701X30        7246969671
01000000003701X33        11649696AD
01000000003701X40        5264969671
01000000003701X41        16279696AD
01000000003701X46         1849696AD
01000000003701Z01        3277969671
01000000003701Z02         1389696AD
01000000003701Z03        14699696AD
01000000003701Z04           59696AD
01000000003701Z06          109696AD
01000000003701Z07           29696AD
01000000003701Z08      2537389696AD
01000000003701Z09        12009696AD
01000000003701Z11        37429696AD
01000000003701Z12        50009696AD
01000000003701Z68         8249696AD
01000000003701Z72          619696MC
01000000003701Z73         9189696MC
01000000003701Z76        32779696AD
01000000003701Z79        52649696MC
01000000003701Z81       152109696BC
01000000003701Z82         184969671
01000000003701Z88          659696AD
01000000003701Z89        60829696AD
01000000003701Z93         2839696AD
01000000003701Z96         1429696MC
01000000003701Z98          209696AD
01103703710000X01        5724969671
01103703710000X04        5724969671
01103703710000X08       45189969671
01103703710000X11        8860969671
01103703710000X12        1392969671
01103703710000X21       30644969671
01103703710000X30       57702969671
01103703710000X33        3964969671
01103703710000X40       919329696AD
01103703710000X41      145722969671
01103703710000Z01        3546969671
01103703710000Z03         853969671
01103703710000Z06          17969671
