01000000003401X01       375209595MA
01000000003401X02       612179595AD
01000000003401X05       715999595AD
01000000003401X06       775669595CT
01000000003401X08      348083959571
01000000003401X11      204201959571
01000000003401X12       19868959571
01000000003401X21      736592959571
01000000003401X30      111028959571
01000000003401X33       28907959571
01000000003401X40     1799902959571
01000000003401X41     1214294959571
01000000003401X42      3561799595AD
01000000003401X46      176950959571
01000000003401Z01       71130959571
01000000003401Z03       23536959571
01000000003401Z08    17016750959571
01000000003401Z68      732526959571
01000000003401Z73      286316959571
01000000003401Z75       351329595MA
01000000003401Z76       359989595MA
01000000003401Z79     17999029595MA
01000000003401Z81     4394945959571
01000000003401Z82      176950959571
01000000003401Z88        4066959571
01000000003401Z89       82121959571
01000000003401Z93        3811959571
01000000003401Z96       61767959571
01000000003401Z99       775669595MA
01000000003402X02      1765819595AD
01000000003402X06      2885269595CT
01000000003402X08      762429959571
01000000003402X11      431477959571
01000000003402X12       26051959571
01000000003402X21     1648000959571
01000000003402X30      241564959571
01000000003402X33       76452959571
01000000003402X40     3945670959571
01000000003402X41     2648794959571
01000000003402X42      7334619595AD
01000000003402X46      347402959571
01000000003402Z01      118150959571
01000000003402Z02      118150959571
01000000003402Z03       43098959571
01000000003402Z04         173959571
01000000003402Z05          43959571
01000000003402Z08    35771816959571
01000000003402Z09      144821959571
01000000003402Z10       39780959571
01000000003402Z68     1641504959571
01000000003402Z73      627851959571
01000000003402Z76      1181509595MA
01000000003402Z79     39456709595MA
01000000003402Z81     9564891959571
01000000003402Z82      347402959571
01000000003402Z88        6496959571
01000000003402Z89      165112959571
01000000003402Z93        5536959571
01000000003402Z96      134578959571
01000000003402Z99      2885269595MA
01000000003403X02        14199595MA
01000000003403X06        6871959571
01000000003403X08       10454959571
01000000003403X11        8766959571
01000000003403X12          91959571
01000000003403X21       10814959571
01000000003403X30        3178959571
01000000003403X33        3178959571
01000000003403X40       88883959571
01000000003403X41       25927959571
01000000003403X42        17619595AD
01000000003403X46         789959571
01000000003403Z01         309959571
01000000003403Z03         232959571
01000000003403Z08      730500959571
01000000003403Z68       10533959571
01000000003403Z73       10454959571
01000000003403Z76         3099595MA
01000000003403Z79       888839595MA
01000000003403Z81      131352959571
01000000003403Z82         789959571
01000000003403Z88         281959571
01000000003403Z93         295959571
01000000003403Z99        68719595MA
01000000003701X01         3769595AD
01000000003701X05        26409595AD
01000000003701X08        1141959571
01000000003701X11        31719595AD
01000000003701X12          469595AD
01000000003701X21         889959571
01000000003701X30        7246959571
01000000003701X33        11649595AD
01000000003701X40        5264959571
01000000003701X41        16279595AD
01000000003701X46         1849595AD
01000000003701Z01        3277959571
01000000003701Z02         1389595AD
01000000003701Z03        14699595AD
01000000003701Z04           59595AD
01000000003701Z06          109595AD
01000000003701Z07           29595AD
01000000003701Z08      2537389595AD
01000000003701Z09        12009595AD
01000000003701Z11        37429595AD
01000000003701Z12        50009595AD
01000000003701Z68         8249595AD
01000000003701Z72          619595MC
01000000003701Z73         9189595MC
01000000003701Z75        32779595AD
01000000003701Z79        52649595MC
01000000003701Z81       152109595BC
01000000003701Z82         184959571
01000000003701Z88          659595AD
01000000003701Z89        60829595AD
01000000003701Z93         2839595AD
01000000003701Z96         1429595MC
01000000003701Z98          209595AD
01103703710000X01        4853959571
01103703710000X04        5175959571
01103703710000X08        9033959571
01103703710000X11        4648959571
01103703710000X12        1085959571
01103703710000X21       18393959571
01103703710000X30       34588959571
01103703710000X33        2377959571
01103703710000X40       550109595AD
01103703710000X41       87299959571
01103703710000Z01        3500959571
01103703710000Z03         548959571
01103703710000Z04          32959571
01103703710000Z05          40959571
01103703710000Z06          20959571
01103703710000Z08      398530959571
01103703710000Z09        90659595AD
01103703710000Z10       15342959571
01103703710000Z11       96378959571
01103703710000Z68       18384959571
01103703710000Z79       550109595AD
01103703710000Z81      195290959571
01103703710000Z88           9959571
01103703710000Z89       32211959571
01103703710000Z91        2401959571
01103703710000Z93         954959571
01103703710000Z96       11434959571
01105105110000X01         776959571
01105105110000X04        1568959571
01105105110000X05          60959571
01105105110000X08        1754959571
01105105110000X11        2289959571
01105105110000X12          83959571
01105105110000X21        1165959571
01105105110000X30       22489959571
01105105110000X33        3353959571
01105105110000Z01         632959571
01105105110000Z02           6959571
01105105110000Z03         168959571
01105105110000Z05          42959571
01105105110000Z06          36959571
01105105110000Z08      1651739595BC
01105105110000Z10        93369595BC
01105105110000Z11        8169959571
01105105110000Z72        1588959571
01105105110000Z81       23654959571
01105105110000Z88        1165959571
01105105110000Z89       19136959571
01105105110000Z96         1669595AD
01200800110000X01         405959571
01200800110000X04         405959571
01200800110000X05         269959571
01200800110000X08        1441959571
01200800110000X11        1469959571
01200800110000X12          56959571
01200800110000X21          21959571
01200800110000X30       20399959571
01200800110000X33       20399959571
01200800110000Z01         181959571
01200800110000Z03          52959571
01200800110000Z04          38959571
01200800110000Z05          36959571
01200800110000Z08       63101959571
01200800110000Z09       45694959571
01200800110000Z10       18782959571
01200800110000Z68          19959571
01200800110000Z73        1441959571
01200800110000Z81       20420959571
01200800110000Z88           2959571
01200800110000Z93          12959571
01202800310000X01         534959571
01202800310000X04        1512959571
01202800310000X08         238959571
01202800310000X11        1983959571
01202800310000X12         228959571
01202800310000X21        1322959571
01202800310000X30        2751959571
01202800310000X40        1902959571
01202800310000Z01         204959571
01202800310000Z03          83959571
01202800310000Z04          48959571
01202800310000Z05          58959571
01202800310000Z08      125687959571
01202800310000Z09       39300959571
01202800310000Z10       30852959571
01202800310000Z67        1902959571
01202800310000Z68        1270959571
01202800310000Z73         238959571
01202800310000Z77        19029595AD
01202800310000Z81        5975959571
01202800310000Z88          52959571
01202800310000Z89        2751959571
01202800310000Z93          38959571
01203500410000X01        1460959571
01203500410000X04        1460959571
01203500410000X08        1288959571
01203500410000X11        2652959571
01203500410000X12         285959571
01203500410000X21       27156959571
01203500410000X30        1500959571
01203500410000Z01         934959571
01203500410000Z03         199959571
01203500410000Z04          25959571
01203500410000Z05           6959571
01203500410000Z06           6959571
01203500410000Z08      186116959571
01203500410000Z09       12775959571
01203500410000Z10        2551959571
01203500410000Z11        7317959571
01203500410000Z73        1369959571
01203500410000Z81       28656959571
01203500410000Z87       22410959571
01203500410000Z88        4746959571
01203500410000Z89        1500959571
01203500410000Z91          819595AD
01203500410000Z93         164959571
01203700310000X01        7015959571
01203700310000X04        7889959571
01203700310000X05          509595AD
01203700310000X08       19807959571
01203700310000X11       18656959571
01203700310000X12        4800959571
01203700310000X21       34467959571
01203700310000X30      109109959571
01203700310000X33       11161959571
01203700310000X40       78122959571
01203700310000X41      187911959571
01203700310000X44        9644959571
01203700310000Z01        4008959571
01203700310000Z02           2959571
01203700310000Z03         870959571
01203700310000Z04         338959571
01203700310000Z05         293959571
01203700310000Z08     1108407959571
01203700310000Z09      401400959571
01203700310000Z10      137798959571
01203700310000Z67       18171959571
01203700310000Z68       33032959571
01203700310000Z72        4709959571
01203700310000Z73       14128959571
01203700310000Z77       610799595AD
01203700310000Z78      2159399595AD
01203700310000Z79       59951959571
01203700310000Z81      419253959571
01203700310000Z83        9644959571
01203700310000Z88        14359595AD
01203700310000Z89       97948959571
01203700310000Z93        1262959571
01203700310000Z96         970959571
01203700310100X01        1321959571
01203700310100X04        1335959571
01203700310100X08        3724959571
01203700310100X11        4689959571
01203700310100X12          75959571
01203700310100X21         186959571
01203700310100X30        4257959571
01203700310100X40       26827959571
01203700310100Z01        1338959571
01203700310100Z03         263959571
01203700310100Z05          79959571
01203700310100Z06           59595AD
01203700310100Z08      210500959571
01203700310100Z10      129651959571
01203700310100Z11        8250959571
01203700310100Z68          86959571
01203700310100Z73        3724959571
01203700310100Z77         7419595AD
01203700310100Z79       26827959571
01203700310100Z81       31270959571
01203700310100Z87         1009595AD
01203700310100Z89        4257959571
01203700310100Z93          12959571
01203700310200X01         346959571
01203700310200X04         346959571
01203700310200X08        1003959571
01203700310200X11         263959571
01203700310200X12          46959571
01203700310200X21        1824959571
01203700310200X30        2035959571
01203700310200X40       11903959571
01203700310200Z01         168959571
01203700310200Z03          23959571
01203700310200Z08       230479595BC
01203700310200Z67       11903959571
01203700310200Z68        1764959571
01203700310200Z73         999959571
01203700310200Z77       119039595AD
01203700310200Z81       15762959571
01203700310200Z87          609595AD
01203700310200Z89        2035959571
01203700310200Z93           6959571
01203700310200Z96           49595AD
01205100110000X01        3519959571
01205100110000X04        4029959571
01205100110000X08       11896959571
01205100110000X11        7083959571
01205100110000X12         893959571
01205100110000X21        2377959571
01205100110000X30       66034959571
01205100110000X40       29624959571
01205100110000X41       34666959571
01205100110000Z01        2863959571
01205100110000Z03         794959571
01205100110000Z04          78959571
01205100110000Z05          31959571
01205100110000Z06           5959571
01205100110000Z08      609715959571
01205100110000Z09       36350959571
01205100110000Z10       12593959571
01205100110000Z11       14312959571
01205100110000Z72        1298959571
01205100110000Z73        6889959571
01205100110000Z77       28211959571
01205100110000Z78       38615959571
01205100110000Z79       29624959571
01205100110000Z81      132701959571
01205100110000Z88        2377959571
01205100110000Z89       66034959571
01205100110000Z93         298959571
01205100110000Z96        3709959571
01205700210000X01         144959571
01205700210000X04         144959571
01205700210000X11         321959571
01205700210000X12          66959571
01205700210000X21        3111959571
01205700210000Z01          95959571
01205700210000Z03          32959571
01205700210000Z08       26787959571
01205700210000Z81        3111959571
01205700210000Z87        3077959571
01205700210000Z88          34959571
01206300210000X01         641959571
01206300210000X04        1190959571
01206300210000X08        1659959571
01206300210000X11        2876959571
01206300210000X12          36959571
01206300210000X21        2041959571
01206300210000X30       16968959571
01206300210000X41       15314959571
01206300210000X42         3569595AD
01206300210000X44         410959571
01206300210000Z01         375959571
01206300210000Z03         119959571
01206300210000Z04           9959571
01206300210000Z05          42959571
01206300210000Z08      204691959571
01206300210000Z09        8750959571
01206300210000Z10       26517959571
01206300210000Z68        1641959571
01206300210000Z72        1659959571
01206300210000Z78       153149595AD
01206300210000Z81       35089959571
01206300210000Z83         410959571
01206300210000Z87         398959571
01206300210000Z88           2959571
01206300210000Z89       16968959571
01206300210000Z93         258959571
02000000001605X01       42665959571
02000000001605X02        4632959571
02000000001605X05       53898959571
02000000001605X06        6120959571
02000000001605X08      200422959571
02000000001605X11      129762959571
02000000001605X12        2819959571
02000000001605X21       38841959571
02000000001605X30      588402959571
02000000001605X33       49016959571
02000000001605X40      5682239595AD
02000000001605X41      9687599595AD
02000000001605X42        2649959571
02000000001605X44      222454959571
02000000001605X46       59357959571
02000000001605Z01        9738959571
02000000001605Z02        23109595MA
02000000001605Z03        41779595MA
02000000001605Z04         1179595AD
02000000001605Z05         2259595AD
02000000001605Z06          229595AD
02000000001605Z07           19595AD
02000000001605Z08     87710509595MA
02000000001605Z09      2516199595AD
02000000001605Z10      2227819595AD
02000000001605Z11       350749595AD
02000000001605Z12        22849595AD
02000000001605Z68       38841959571
02000000001605Z72       39381959571
02000000001605Z73       88421959571
02000000001605Z75        8885959571
02000000001605Z76         853959571
02000000001605Z77      5997579595AD
02000000001605Z78     1151269959571
02000000001605Z79      5682239595AD
02000000001605Z81     2448685959571
02000000001605Z82       59357959571
02000000001605Z83      222454959571
02000000001605Z89      5393869595AD
02000000001605Z93        7385959571
02000000001605Z96       72620959571
02000000001605Z99        6120959571
02000000001608X01       35198959571
02000000001608X02       48485959571
02000000001608X05       54813959571
02000000001608X06      101632959571
02000000001608X08      356311959571
02000000001608X11      172321959571
02000000001608X12       12774959571
02000000001608X21       72955959571
02000000001608X30     1162872959571
02000000001608X33      1157979595AD
02000000001608X40     1065267959571
02000000001608X41     16826079595AD
02000000001608X42        3903959571
02000000001608X44      383270959571
02000000001608X46      1002679595AD
02000000001608Z01       314739595AD
02000000001608Z02       117279595MA
02000000001608Z03        9236959571
02000000001608Z04         2749595AD
02000000001608Z05         7489595AD
02000000001608Z06         1719595AD
02000000001608Z07           79595AD
02000000001608Z08    10317040959571
02000000001608Z09      4754479595AD
02000000001608Z10      4763479595AD
02000000001608Z11     10694289595AD
02000000001608Z12       497699595AD
02000000001608Z68       729559595AD
02000000001608Z72       677419595AD
02000000001608Z73      163215959571
02000000001608Z75       14738959571
02000000001608Z76       16735959571
02000000001608Z77     1123412959571
02000000001608Z78     19856459595AD
02000000001608Z79     10652679595MC
02000000001608Z81     4471141959571
02000000001608Z82      1002679595AD
02000000001608Z83      3832709595AD
02000000001608Z89     10470759595MA
02000000001608Z93       112579595AD
02000000001608Z96      1253559595AD
02000000001608Z99      101632959571
02200200110000X01        12549595AD
02200200110000X04        30869595AD
02200200110000X08       27143959571
02200200110000X11        7463959571
02200200110000X12         1139595AD
02200200110000X21       18999959571
02200200110000X30       55445959571
02200200110000X40       39698959571
02200200110000X41      113671959571
02200200110000X42        4469959571
02200200110000X44       10458959571
02200200110000X47       121469595AD
02200200110000Z01         490959571
02200200110000Z02           8959571
