01103703710000Z93        47271313NR
01103703710000Z96       915961313NR
01200800110000X04         8161313NR
01200800110000X01         9101313NR
01200800110000X05         2601313NR
01200800110000X08        16301313NR
01200800110000X11        19251313NR
01200800110000X12         1311313NR
01200800110000X21         3901313NR
01200800110000X30        27761313NR
01200800110000X33           01313NR
01200800110000X35         3821313NR
01200800110000X42           01313NR
01200800110000X44        18771313NR
01200800110000X46          661313NR
01200800110000X47        13761313NR
01200800110000Z01         1791313NR
01200800110000Z02           01313NR
01200800110000Z03         1631313NR
01200800110000Z04          291313NR
01200800110000Z05          301313NR
01200800110000Z13        18601313NR
01200800110000Z14           01313NR
01200800110000Z15          431313NR
01200800110000Z16          221313NR
01200800110000Z62        11101313NR
01200800110000Z63        23781313NR
01200800110000Z68           01313NR
01200800110000Z70         3121313NR
01200800110000Z71         2161313NR
01200800110000Z72         1931313NR
01200800110000Z73         1131313NR
01200800110000Z77        23781313NR
01200800110000Z78       105231313NR
01200800110000Z81       197681313NR
01200800110000Z82        18241313NR
01200800110000Z83           01313NR
01200800110000Z84        15651313NR
01200800110000Z87         2031313NR
01200800110000Z88         1871313NR
01200800110000Z89        16661313NR
01200800110000Z91           01313NR
01200800110000Z93         1421313NR
01200800110000Z96        11081313NR
01203700310000X04       196101313NR
01203700310000X01       163021313NR
01203700310000X05        26951313NR
01203700310000X08      1308401313NR
01203700310000X11       870091313NR
01203700310000X12        14341313NR
01203700310000X21       216821313NR
01203700310000X30       944011313NR
01203700310000X33           01313NR
01203700310000X35           01313NR
01203700310000X42           01313NR
01203700310000X44       266621313NR
01203700310000X46           01313NR
01203700310000X47           01313NR
01203700310000Z01        38321313NR
01203700310000Z02         2481313NR
01203700310000Z03        28411313NR
01203700310000Z04         4251313NR
01203700310000Z05         4901313NR
01203700310000Z13       791681313NR
01203700310000Z14           01313NR
01203700310000Z15        43171313NR
01203700310000Z16        35241313NR
01203700310000Z62        77411313NR
01203700310000Z63      1481311313NR
01203700310000Z68           01313NR
01203700310000Z70           01313NR
01203700310000Z71       301561313NR
01203700310000Z72        71191313NR
01203700310000Z73        19691313NR
01203700310000Z77      1481311313NR
01203700310000Z78      6591641313NR
01203700310000Z81      950040131311
01203700310000Z82           01313NR
01203700310000Z83           01313NR
01203700310000Z84       266621313NR
01203700310000Z87          551313NR
01203700310000Z88       216271313NR
01203700310000Z89       866601313NR
01203700310000Z91           01313NR
01203700310000Z93        45901313NR
01203700310000Z96       915961313NR
01203700310100X04        47791313NR
01203700310100X01        42101313NR
01203700310100X05         1061313NR
01203700310100X08        51721313NR
01203700310100X11        42051313NR
01203700310100X12         1061313NR
01203700310100X21        28211313NR
01203700310100X30        71971313NR
01203700310100X33           01313NR
01203700310100X35           01313NR
01203700310100X42           01313NR
01203700310100X44       103291313NR
01203700310100X46           01313NR
