01000000003701Z03        19860909AD
01000000003701Z04           70909AD
01000000003701Z05           0090912
01000000003701Z06           0090912
01000000003701Z07           0090912
01000000003701Z08      3513330909AD
01000000003701Z09           0090912
01000000003701Z10           0090912
01000000003701Z11           0090912
01000000003701Z12           0090912
01000000003701Z13        4216090912
01000000003701Z14           0090912
01000000003701Z15           0090912
01000000003701Z16           0090912
01000000003701Z62           00909HC
01000000003701Z63           00909HC
01000000003701Z68           00909HC
01000000003701Z70           00909HC
01000000003701Z71         4870909AD
01000000003701Z72         1160909AD
01000000003701Z73           00909HC
01000000003701Z74           00909NR
01000000003701Z77           00909HC
01000000003701Z78           00909HC
01000000003701Z81       208420909HC
01000000003701Z82           00909HC
01000000003701Z83       208420909HC
01000000003701Z84           00909HC
01000000003701Z87           00909HC
01000000003701Z88           00909HC
01000000003701Z89           00909HC
01000000003701Z90           00909HC
01000000003701Z91           00909NR
01000000003701Z92           00909NR
01000000003701Z93           00909HC
01000000003701Z95           00909HC
01000000003701Z96           00909HC
01000000003701Z97           00909NR
01103703710000X04       121860909NR
01103703710000V01           00909NR
01103703710000V02           00909NR
01103703710000V03           00909NR
01103703710000V04           00909NR
01103703710000V05           00909NR
01103703710000V07           00909NR
01103703710000X01        98600909NR
01103703710000X05           00909NR
01103703710000X08     -2431840909NR
01103703710000X11       239430909NR
01103703710000X12        17690909NR
01103703710000X21       242160909NR
01103703710000X30       227040909NR
01103703710000X33       151460909NR
01103703710000X35           00909NR
01103703710000X42           00909NR
01103703710000X44      2538510909NR
01103703710000X46           00909NR
01103703710000X47       580480909NR
01103703710000Z01        34660909NR
01103703710000Z02           00909NR
01103703710000Z03         6370909NR
01103703710000Z04          320909NR
01103703710000Z05          440909NR
01103703710000Z06          180909NR
01103703710000Z07           00909NR
01103703710000Z08     14104310909NR
01103703710000Z09       510720909NR
01103703710000Z10       509220909NR
01103703710000Z11      1141660909NR
01103703710000Z12           00909NR
01103703710000Z13       202310909NR
01103703710000Z14         9690909NR
01103703710000Z15        20920909NR
01103703710000Z16         6510909NR
01103703710000Z62       104570909NR
01103703710000Z63       777040909NR
01103703710000Z68       228710909NR
01103703710000Z70       579960909NR
01103703710000Z71       249890909NR
01103703710000Z72           00909NR
01103703710000Z73           00909NR
01103703710000Z74           00909NR
01103703710000Z77       881610909NR
01103703710000Z78      1923750909NR
01103703710000Z81      6393550909NR
01103703710000Z82       580480909NR
01103703710000Z83      1958550909NR
01103703710000Z84           00909NR
01103703710000Z87           00909NR
01103703710000Z88        13450909NR
01103703710000Z89        75580909NR
01103703710000Z90           00909NR
01103703710000Z91      2681730909NR
01103703710000Z92           00909NR
01103703710000Z93        20480909NR
01103703710000Z95           00909NR
01103703710000Z96           00909NR
01103703710000Z97           00909NR
01105105110000X04        5344090911
01105105110000V01           0090911
01105105110000V02           00909NR
01105105110000V03           00909NR
01105105110000V04           00909NR
01105105110000V05           00909NR
01105105110000V07           00909NR
01105105110000X01        1879090911
01105105110000X05          60090911
01105105110000X08      -100190909AC
01105105110000X11        4472090911
01105105110000X12         210090911
01105105110000X21       51994090911
01105105110000X30           0090911
01105105110000X33           0090911
01105105110000X35           0090911
01105105110000X42           0090911
01105105110000X44        4769090911
01105105110000X46           0090911
01105105110000X47           0090911
01105105110000Z01         777090911
01105105110000Z02          10090911
01105105110000Z03         194090911
01105105110000Z04          55090911
01105105110000Z05          50090911
01105105110000Z06           1090911
01105105110000Z07           0090911
01105105110000Z08      298000090911
01105105110000Z09       60000090911
01105105110000Z10       40000090911
01105105110000Z11       33052090911
01105105110000Z12           0090911
01105105110000Z13        3272090911
01105105110000Z14         720090911
01105105110000Z15         480090911
01105105110000Z16           0090911
01105105110000Z62           0090911
01105105110000Z63           0090911
01105105110000Z68           0090911
01105105110000Z70        4769090911
01105105110000Z71        1733090911
01105105110000Z72         971090911
01105105110000Z73           0090911
01105105110000Z74           00909NR
01105105110000Z77           0090911
01105105110000Z78       27983090911
01105105110000Z81       84746090911
01105105110000Z82           0090911
01105105110000Z83           0090911
01105105110000Z84           0090911
01105105110000Z87        1150090911
01105105110000Z88       50844090911
01105105110000Z89           0090911
01105105110000Z90           0090911
01105105110000Z91       12723090911
01105105110000Z92           00909NR
01105105110000Z93         552090911
01105105110000Z95           0090911
01105105110000Z96           00909NR
01105105110000Z97           00909NR
01200800110000X04         6780909NR
01200800110000V01           00909NR
01200800110000V02           00909NR
01200800110000V03           00909NR
01200800110000V04           00909NR
01200800110000V05           00909NR
01200800110000V07           00909NR
01200800110000X01         6780909NR
01200800110000X05           00909NR
01200800110000X08       -29850909NR
01200800110000X11        29940909NR
01200800110000X12           00909NR
01200800110000X21        13350909NR
01200800110000X30           00909NR
01200800110000X33           00909NR
01200800110000X35           00909NR
01200800110000X42           00909NR
01200800110000X44           00909NR
01200800110000X46        18300909NR
01200800110000X47        67960909NR
01200800110000Z01         1680909NR
01200800110000Z02           00909NR
01200800110000Z03         1000909NR
01200800110000Z04          280909NR
01200800110000Z05          300909NR
01200800110000Z06           00909NR
01200800110000Z07           00909NR
01200800110000Z08      1579170909NR
01200800110000Z09       442500909NR
01200800110000Z10       473330909NR
01200800110000Z11           00909NR
01200800110000Z12           00909NR
01200800110000Z13        18950909NR
01200800110000Z14         5310909NR
01200800110000Z15         5680909NR
01200800110000Z16           00909NR
01200800110000Z62           00909NR
01200800110000Z63       129160909NR
01200800110000Z68           00909NR
01200800110000Z70           00909NR
01200800110000Z71         4400909NR
01200800110000Z72         2270909NR
01200800110000Z73           40909NR
01200800110000Z74           00909NR
01200800110000Z77       129160909NR
01200800110000Z78           00909NR
01200800110000Z81       228770909NR
01200800110000Z82        86260909NR
01200800110000Z83           00909NR
01200800110000Z84           00909NR
01200800110000Z87           00909NR
01200800110000Z88        13350909NR
01200800110000Z89           00909NR
01200800110000Z90           00909NR
01200800110000Z91        36560909NR
01200800110000Z92           00909NR
01200800110000Z93         2160909NR
01200800110000Z95           00909NR
01200800110000Z96           00909NR
01200800110000Z97           00909NR
01203700310000X04       127920909NR
01203700310000V01           00909NR
01203700310000V02           00909NR
01203700310000V03           00909NR
01203700310000V04           00909NR
01203700310000V05           00909NR
01203700310000V07           00909NR
01203700310000X01       124870909NR
01203700310000X05           00909NR
01203700310000X08      -961170909NR
01203700310000X11       573880909NR
01203700310000X12         5860909NR
01203700310000X21           00909NR
01203700310000X30      1948870909NR
01203700310000X33           00909NR
01203700310000X35           00909NR
01203700310000X42           00909NR
01203700310000X44           00909NR
01203700310000X46           00909NR
01203700310000X47           00909NR
01203700310000Z01        37820909NR
01203700310000Z02         2050909NR
01203700310000Z03        15910909NR
01203700310000Z04         4100909NR
01203700310000Z05         4630909NR
01203700310000Z06           00909NR
01203700310000Z07           00909NR
01203700310000Z08     30884170909NR
01203700310000Z09      7958330909NR
01203700310000Z10      8980830909NR
01203700310000Z11       488330909NR
01203700310000Z12           00909NR
