01000000003701Z02          820808HC
01000000003701Z03        1986080812
01000000003701Z04           7080812
01000000003701Z05           0080812
01000000003701Z06         113080812
01000000003701Z07          69080812
01000000003701Z08      3513330808AC
01000000003701Z09           00808AC
01000000003701Z10           0080812
01000000003701Z11       11015080812
01000000003701Z12       12128080812
01000000003701Z13        4216080812
01000000003701Z14           0080812
01000000003701Z15           0080812
01000000003701Z16           0080812
01000000003701Z62        32980808HC
01000000003701Z63        16630808HC
01000000003701Z68           00808HC
01000000003701Z70           00808HC
01000000003701Z71         4870808HC
01000000003701Z72         1160808HC
01000000003701Z73           00808HC
01000000003701Z74           00808NR
01000000003701Z77        49610808HC
01000000003701Z78         1940808HC
01000000003701Z81       213640808HC
01000000003701Z82          700808HC
01000000003701Z83       133550808HC
01000000003701Z84           00808HC
01000000003701Z87           00808HC
01000000003701Z88         3010808HC
01000000003701Z89        18860808HC
01000000003701Z90           00808HC
01000000003701Z91           00808NR
01000000003701Z92           00808NR
01000000003701Z93         4240808HC
01000000003701Z95           00808HC
01000000003701Z96        15540808HC
01000000003701Z97           00808NR
01103703710000X04       121860808NR
01103703710000V01           00808NA
01103703710000V02           00808NA
01103703710000V03           00808NA
01103703710000V04           00808NA
01103703710000V05           00808NA
01103703710000V07           00808NA
01103703710000X01        91410808NR
01103703710000X05           00808NR
01103703710000X08      3448460808NR
01103703710000X11       232400808NR
01103703710000X12        17690808NR
01103703710000X21       311200808NR
01103703710000X30       518510808NR
01103703710000X33           00808NR
01103703710000X35           00808NR
01103703710000X42           00808NR
01103703710000X44      2205600808NR
01103703710000X46           00808NR
01103703710000X47       630840808NR
01103703710000Z01        34860808NR
01103703710000Z02           00808NR
01103703710000Z03         6370808NR
01103703710000Z04          320808NR
01103703710000Z05          440808NR
01103703710000Z06          200808NR
01103703710000Z07           00808NR
01103703710000Z08     13672190808NR
01103703710000Z09       496310808NR
01103703710000Z10       463250808NR
01103703710000Z11      1141660808NR
01103703710000Z12           00808NR
01103703710000Z13       232400808NR
01103703710000Z14           00808NR
01103703710000Z15           00808NR
01103703710000Z16           00808NR
01103703710000Z62       528920808NR
01103703710000Z63      1085450808NR
01103703710000Z68       232650808NR
01103703710000Z70      1664550808NR
01103703710000Z71      3360560808NR
01103703710000Z72           00808NR
01103703710000Z73           00808NR
01103703710000Z74           00808NA
01103703710000Z77      1614370808NR
01103703710000Z78      3917510808NR
01103703710000Z81      919803080811
01103703710000Z82       630840808NR
01103703710000Z83       541050808NR
01103703710000Z84           00808NR
01103703710000Z87           00808NR
01103703710000Z88        78550808NR
01103703710000Z89       518510808NR
01103703710000Z90           00808NA
01103703710000Z91           00808NR
01103703710000Z92           00808NA
01103703710000Z93        22320808NR
01103703710000Z95           00808NA
01103703710000Z96        87900808NR
01103703710000Z97           00808NA
01105105110000X04        4781080811
01105105110000V01           0080811
01105105110000V02           00808NR
01105105110000V03           00808NR
01105105110000V04           00808NR
01105105110000V05           00808NR
01105105110000V07           00808NR
01105105110000X01        1738080811
01105105110000X05          57080811
01105105110000X08       111320808AE
01105105110000X11        3957080811
01105105110000X12         368080811
01105105110000X21        4036080811
